time,Total,LocSteric,GloSteric,GIA,Glaciers,Antarctica,Greenland,TWS,Nodal,Wind,Pressure,Obs,Steric,IceSheets,WindPressure
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.372916666666668,0.0,0.0,0.0
1961,4.605072629394097,0.05009121961585006,0.18761920928955123,0.03683333333333346,0.04250000000000009,0.005833333333333339,0.008333333333333326,0.14833333333333334,0.035620428486328536,5.311877401813873,-1.22196896314484,-0.6062500000000001,0.23771042890540128,0.056666666666666754,4.089908438669033
1962,3.0811807019377677,-1.2317927320118036,0.3165395736694343,0.0736666666666667,0.09500000000000004,0.010000000000000009,0.01749999999999999,0.08416666666666672,0.12871211814062758,5.235853415188969,-1.648465006382793,-5.85625,-0.9152531583423693,0.12250000000000004,3.5873884088061763
1963,-3.5281469020685576,-2.4454704750913154,0.18307628631591832,0.11050000000000015,0.12416666666666665,0.01583333333333335,0.01916666666666666,-0.010833333333333315,0.2687639599657941,-0.4551140580789153,-1.338235948513373,-11.589583333333334,-2.262394188775397,0.15916666666666665,-1.7933500065922883
1964,-1.862442281904448,0.17264863537770658,-0.05113983154296786,0.1473333333333334,0.12000000000000006,0.020000000000000018,0.01999999999999999,-0.165,0.43996251046181306,0.08263266984931716,-2.64887959938365,-9.539583333333333,0.12150880383473872,0.16000000000000006,-2.5662469295343326
1965,3.570335445915743,-1.2012854721419512,-0.09262084960937322,0.18416666666666667,0.135,0.025833333333333357,0.02416666666666666,0.00250000000000003,0.622977508988957,4.41226566522882,-0.5426680732173771,-4.072916666666667,-1.2939063217513245,0.18500000000000003,3.869597592011443
1966,5.516866125060711,0.5539710487552325,-0.037172317504881924,0.22100000000000006,0.16083333333333338,0.030000000000000027,0.032499999999999994,0.18250000000000002,0.7971444837263091,3.8084969560332893,-0.2324073792825713,-1.1229166666666666,0.5167987312503506,0.2233333333333334,3.576089576750718
1967,9.445280522314016,0.6921352509472691,-0.15938034057617045,0.2578333333333333,0.18916666666666662,0.03583333333333336,0.034999999999999996,0.019166666666666665,0.9427980052251317,8.700029287879685,-1.267301681161899,1.6270833333333332,0.5327549103710987,0.25999999999999995,7.432727606717786
1968,1.3368292475131618,-0.050384366284914606,-0.3643455505371085,0.2946666666666668,0.21500000000000005,0.039166666666666704,0.04416666666666667,-0.11,1.0434921367324064,1.3907798711368027,-1.165712843534024,-4.822916666666667,-0.4147299168220231,0.29833333333333345,0.22506702760277864
1969,0.03869088623529541,-0.36747844565211274,-0.2966827392578115,0.33149999999999996,0.24416666666666673,0.04583333333333337,0.04583333333333334,-0.12083333333333335,1.087857367225488,0.03521945745766675,-0.9667247535379354,-6.189583333333334,-0.6641611849099243,0.33583333333333343,-0.9315052960802687
1970,5.747923890917977,0.38424999016829187,-0.23260040283203054,0.36833333333333335,0.2633333333333333,0.049166666666666636,0.04750000000000001,-0.04666666666666667,1.070884358329208,4.291474682334525,-0.4477514037486842,-2.872916666666667,0.15164958733626133,0.35999999999999993,3.843723278585841
1971,-0.8793927716993638,-1.3211707144615512,-0.021241378784178977,0.4051666666666667,0.2891666666666666,0.05500000000000003,0.05249999999999999,-0.35333333333333333,0.9944895555091087,0.8804970900486278,-1.8604673240113696,-7.90625,-1.3424120932457302,0.39666666666666667,-0.9799702339627419
1972,-4.343260022820931,-3.184516081654737,0.09239940643310618,0.4420000000000001,0.29500000000000004,0.05916666666666672,0.04999999999999999,-0.445,0.8672987996134554,-1.331361840809614,-1.188246973069807,-10.722916666666668,-3.092116675221631,0.40416666666666673,-2.519608813879421
1973,1.8143288656267647,-4.063593834804026,0.16826782226562642,0.4788333333333335,0.31416666666666665,0.06500000000000002,0.049166666666666664,-0.655,0.7036733714784656,6.909783457208438,-2.155968617188407,-3.9395833333333337,-3.8953260125383995,0.42833333333333334,4.753814840020031
1974,4.637809762110968,-3.2881318495015353,0.26554603576660263,0.5156666666666668,0.34,0.06916666666666667,0.05249999999999999,-0.9708333333333333,0.5220884402219346,7.256620356164039,-0.12481322054007365,-3.5562500000000004,-3.0225858137349326,0.46166666666666667,7.131807135623966
1975,0.07018447631082643,-1.431129278090416,0.5144441604614265,0.5525000000000001,0.3625,0.07499999999999997,0.05249999999999999,-0.7216666666666667,0.3430470068287683,2.565188157692758,-2.242198903915044,-7.089583333333334,-0.9166851176289894,0.48999999999999994,0.32298925377771415
1976,-1.959552649449244,-1.6261620309562292,0.47588844299316513,0.5893333333333334,0.37166666666666665,0.0791666666666667,0.05249999999999999,-0.9716666666666667,0.1867648824887976,0.5146988671585538,-1.6317428111335317,-9.439583333333333,-1.1502735879630641,0.5033333333333334,-1.117043943974978
1977,2.7102706857280343,-1.830662983143931,0.5946353912353524,0.6261666666666666,0.42250000000000004,0.08416666666666671,0.05249999999999999,-0.6383333333333333,0.07088809392402019,3.842860921007622,-0.5144507372950292,-4.30625,-1.2360275919085786,0.5591666666666667,3.328410183712593
1978,3.636386629334936,-1.070228892403398,0.6271236419677741,0.6630000000000001,0.4691666666666667,0.08750000000000002,0.05249999999999999,-0.7858333333333333,0.008500446567145714,4.107978018877405,-0.5233199190073234,-5.072916666666667,-0.4431052504356239,0.6091666666666666,3.584658099870081
1979,2.475607746619231,-0.6567220636784312,0.5921049118042006,0.6998333333333334,0.5233333333333333,0.09416666666666666,0.05249999999999999,-0.775,0.0066462143364585296,2.3654142082139398,-0.42666885739027016,-4.122916666666667,-0.06461715187423067,0.6699999999999999,1.9387453508236696
1980,4.6414099944379315,0.20051200027432214,0.9051748275756846,0.7366666666666667,0.5566666666666668,0.09750000000000002,0.056666666666666664,-0.5675,0.0655347611091764,3.747927360336717,-1.1577389548579684,-1.3895833333333334,1.1056868278500067,0.7108333333333334,2.5901884054787487
1981,7.621806182457938,0.5336885587067215,0.8676799774169934,0.7735,0.5916666666666667,0.10416666666666673,0.0625,-0.5166666666666667,0.1785169011619788,6.003068808227831,-0.9763147297222544,2.010416666666667,1.401368536123715,0.7583333333333334,5.026754078505577
1982,3.958851692770096,1.2689268816276371,0.7357789993286143,0.8103333333333333,0.625,0.1066666666666667,0.06666666666666667,-0.6583333333333333,0.3328356677534623,2.2698882944050727,-1.598911483678024,-0.35625,2.0047058809562515,0.7983333333333333,0.6709768107270486
1983,10.209690076030308,1.5597841377625468,0.5931583404541025,0.8471666666666667,0.6416666666666667,0.11416666666666668,0.0625,-0.65,0.5110667195491315,8.224647597544724,-1.6944667192801977,3.3937500000000003,2.1529424782166493,0.8183333333333334,6.5301808782645265
1984,4.781839899839349,0.8654753457539877,0.6220449447631844,0.884,0.6791666666666667,0.11666666666666665,0.0625,-0.7933333333333333,0.6930857466449559,2.667728408544333,-1.0154945458671116,-2.8395833333333336,1.487520290517172,0.8583333333333334,1.6522338626772213
1985,5.313872923158517,0.7517521558532998,0.7898220062255863,0.9208333333333333,0.7125,0.1241666666666667,0.06333333333333334,-0.9241666666666668,0.8583407337057815,3.403850082047897,-1.386558721340715,-2.5395833333333333,1.541574162078886,0.9,2.0172913607071825
1986,4.280020527323164,0.4608012279016598,0.9574644088745123,0.9576666666666666,0.7333333333333334,0.12666666666666673,0.06666666666666667,-0.9066666666666667,0.9881725159043059,2.289636419233829,-1.3937207112578098,-3.189583333333333,1.4182656367761721,0.9266666666666667,0.8959157079760194
1987,5.285614641236594,2.7402945043675273,0.9402297973632825,0.9945,0.7583333333333334,0.13250000000000003,0.06666666666666667,-0.46749999999999997,1.067921610540793,0.8611065215270776,-1.8084377925620856,-3.9395833333333337,3.68052430173081,0.9575000000000001,-0.947331271035008
1988,12.69634205124751,2.5672385872639865,1.0453647613525403,1.0313333333333334,0.7808333333333334,0.13583333333333333,0.06916666666666667,-0.4583333333333333,1.0885834391264706,7.314669064402358,-0.8783471342311785,3.69375,3.6126033486165268,0.9858333333333335,6.43632193017118
1989,7.852648323190746,2.641924778575179,1.0017660140991222,1.0681666666666667,0.8308333333333334,0.14250000000000002,0.07333333333333333,-0.9408333333333334,1.0478250465592234,4.017780035779212,-2.0306475518219895,-0.10625000000000001,3.643690792674301,1.0466666666666666,1.9871324839572222
1990,11.231840234773648,1.7103881710646442,1.0139257431030284,1.1050000000000002,0.8933333333333334,0.14583333333333334,0.075,-0.8975,0.9502485182498113,7.684834129540287,-1.449222993850789,3.54375,2.7243139141676727,1.1141666666666667,6.235611135689498
1991,3.289906543673391,-0.4126937536416144,1.2833663940429694,1.1418333333333335,0.9358333333333334,0.15166666666666673,0.07833333333333332,-0.8150000000000001,0.8068713524134647,2.451726586431862,-2.332030702239958,-6.689583333333333,0.870672640401355,1.1658333333333335,0.11969588419190424
1992,5.193028673075687,-0.9398383270674016,1.2776485443115244,1.1786666666666668,0.9483333333333334,0.1366666666666667,0.07416666666666667,-0.6583333333333333,0.633882459396514,4.320930212287554,-1.7790942158525054,-2.15625,0.33781021724412286,1.1591666666666667,2.541835996435049
1993,5.5352380759922815,-0.05260413551641596,1.2396287918090834,1.2155,1.0058333333333334,0.14083333333333334,0.075,-0.7575,0.4508142498420728,4.0222056226494995,-1.804473119458625,-2.40625,1.1870246562926674,1.2216666666666667,2.2177325031908746
