locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Vlotter;Waterhoogte;cm;GETETM2;NAP;135;1409;1981;rws_ddl;-27.4;107.6
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-101;1409;1981;rws_ddl;-8.2;-109.2
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-97;1409;1981;rws_ddl;-16.8;-113.8
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-42;1409;1981;rws_ddl;NA;NA
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;22;1409;1981;rws_ddl;-6.5;15.5
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;51;1967;1981;rws_ddl;-27.7;23.3
Holwerd;HOLWD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-151;1409;1981;rws_ddl;NA;NA
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;GETETM2;NAP;-135;1409;1981;rws_ddl;-16.8;-151.8
IJmuiden;IJMDBTHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;122;1409;1981;rws_ddl;-21.8;100.2
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-2;1409;1981;rws_ddl;NA;NA
Lauwersoog;LAUWOG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-103;1409;1981;rws_ddl;-12.5;-115.5
Maassluis;MAASSS;Vlotter;Waterhoogte;cm;GETETM2;NAP;298;1409;1981;rws_ddl;NA;NA
Nes;NES;Vlotter;Waterhoogte;cm;GETETM2;NAP;-66;1409;1981;rws_ddl;-11.1;-77.1
Nieuwe Statenzijl;NIEUWSTZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;163;1409;1981;rws_ddl;-3.2;159.8
Oudeschild;OUDSD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-58;1409;1981;rws_ddl;-20.3;-78.3
Scheveningen;SCHEVNGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;67;1725;1981;rws_ddl;-12.2;54.8
Schiermonnikoog;SCHIERMNOG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-125;1409;1981;rws_ddl;-9.7;-134.7
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-87;1409;1981;rws_ddl;-21.7;-108.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;146;1409;1981;rws_ddl;-29.7;116.3
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-80;1409;1981;rws_ddl;-21.4;-101.4
