locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Vlotter;Waterhoogte;cm;GETETM2;NAP;165;1409;2017;rws_ddl;-27.4;165
Cadzand;CADZD;Vlotter;Waterhoogte;cm;NVT;NAP;31;52501;2017;rws_ddl;-27.4;31
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-47;1409;2017;rws_ddl;-8.2;-47
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;164;52501;2017;rws_ddl;-8.2;164
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-52;1409;2017;rws_ddl;-16.8;-52
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;NVT;NAP;55;52501;2017;rws_ddl;-16.8;55
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;29;1409;2017;rws_ddl;NA;29
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;NVT;NAP;139;52501;2017;rws_ddl;NA;139
Haringvliet 10;HARVT10;Vlotter;Waterhoogte;cm;GETETM2;NAP;229;1409;2017;rws_ddl;-21;229
Haringvliet 10;HARVT10;Vlotter;Waterhoogte;cm;NVT;NAP;33;52094;2017;rws_ddl;-21;33
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;62;1409;2017;rws_ddl;-6.5;62
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;NVT;NAP;148;52501;2017;rws_ddl;-6.5;148
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;95;2045;2017;rws_ddl;-27.7;95
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;NVT;NAP;133;52501;2017;rws_ddl;-27.7;133
Holwerd;HOLWD;Radar;Waterhoogte;cm;GETETM2;NAP;-113;1409;2017;rws_ddl;NA;-113
Holwerd;HOLWD;Radar;Waterhoogte;cm;NVT;NAP;103;52501;2017;rws_ddl;NA;103
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;GETETM2;NAP;-8;1409;2017;rws_ddl;-16.8;-8
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;NVT;NAP;74;52501;2017;rws_ddl;-16.8;74
IJmuiden;IJMDBTHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;198;1409;2017;rws_ddl;-21.8;198
