locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Vlotter;Waterhoogte;cm;GETETM2;NAP;90;1409;1989;rws_ddl;-27.4;62.6
Cadzand;CADZD;Vlotter;Waterhoogte;cm;NVT;NAP;-28;52501;1989;rws_ddl;-27.4;-55.4
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-123;1409;1989;rws_ddl;-8.2;-131.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;82;105002;1989;rws_ddl;-8.2;73.8
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-106;1409;1989;rws_ddl;-16.8;-122.8
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;NVT;NAP;-1;52501;1989;rws_ddl;-16.8;-17.8
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-37;1408;1989;rws_ddl;NA;NA
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;NVT;NAP;77;52501;1989;rws_ddl;NA;NA
Haringvliet 10;HARVT10;Vlotter;Waterhoogte;cm;GETETM2;NAP;176;1406;1989;rws_ddl;-21;155
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-17;1409;1989;rws_ddl;-6.5;-23.5
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;NVT;NAP;41;52501;1989;rws_ddl;-6.5;34.5
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;42;1884;1989;rws_ddl;-27.7;14.3
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;NVT;NAP;80;52501;1989;rws_ddl;-27.7;52.3
Holwerd;HOLWD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-125;1409;1989;rws_ddl;NA;NA
Holwerd;HOLWD;Vlotter;Waterhoogte;cm;NVT;NAP;30;40891;1989;rws_ddl;NA;NA
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;GETETM2;NAP;-117;1409;1989;rws_ddl;-16.8;-133.8
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;NVT;NAP;-33;52501;1989;rws_ddl;-16.8;-49.8
IJmuiden;IJMDBTHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;128;1409;1989;rws_ddl;-21.8;106.2
IJmuiden;IJMDBTHVN;Vlotter;Waterhoogte;cm;NVT;NAP;25;52501;1989;rws_ddl;-21.8;3.1999999999999993
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-27;1409;1989;rws_ddl;NA;NA
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;NVT;NAP;49;52501;1989;rws_ddl;NA;NA
Lauwersoog;LAUWOG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-113;1409;1989;rws_ddl;-12.5;-125.5
