locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-286;1409;1906;rws_ddl;-8.2;-294.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;-111;2917;1906;rws_ddl;-8.2;-119.2
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-72;1409;1906;rws_ddl;-6.5;-78.5
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-76;1409;1906;rws_ddl;-29.7;-105.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;NVT;NAP;-178;2915;1906;rws_ddl;-29.7;-207.7
