locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-306;1409;1907;rws_ddl;-8.2;-314.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;-128;2917;1907;rws_ddl;-8.2;-136.2
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-99;1409;1907;rws_ddl;-6.5;-105.5
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-75;1409;1907;rws_ddl;-29.7;-104.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;NVT;NAP;-1465;2;1907;rws_ddl;-29.7;-1494.7
