locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-62;1413;1924;rws_ddl;-27.4;-89.4
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-260;1412;1924;rws_ddl;-8.2;-268.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;-76;2925;1924;rws_ddl;-8.2;-84.2
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-227;1413;1924;rws_ddl;-16.8;-243.8
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-119;1413;1924;rws_ddl;NA;NA
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-53;1413;1924;rws_ddl;-6.5;-59.5
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-184;2085;1924;rws_ddl;-27.7;-211.7
Maassluis;MAASSS;Vlotter;Waterhoogte;cm;GETETM2;NAP;116;1366;1924;rws_ddl;NA;NA
Nieuwe Statenzijl;NIEUWSTZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;1272;706;1924;rws_ddl;-3.2;1268.8
Scheveningen;SCHEVNGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;81;1413;1924;rws_ddl;-12.2;68.8
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-56;1413;1924;rws_ddl;-29.7;-85.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;NVT;NAP;-158;2925;1924;rws_ddl;-29.7;-187.7
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-199;1413;1924;rws_ddl;-21.4;-220.4
