locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Peilschaal;Waterhoogte;cm;GETETM2;NAP;100;732;1954;rws_ddl;-27.4;72.6
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-183;1409;1954;rws_ddl;-8.2;-191.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;-10;2916;1954;rws_ddl;-8.2;-18.2
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-147;1409;1954;rws_ddl;-16.8;-163.8
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;NVT;NAP;-48;2916;1954;rws_ddl;-16.8;-64.8
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-145;1409;1954;rws_ddl;NA;NA
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-64;1409;1954;rws_ddl;-6.5;-70.5
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;NVT;NAP;-10;2916;1954;rws_ddl;-6.5;-16.5
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-53;1949;1954;rws_ddl;-27.7;-80.7
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;NVT;NAP;3;2916;1954;rws_ddl;-27.7;-24.7
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-55;1409;1954;rws_ddl;NA;NA
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;NVT;NAP;32;2916;1954;rws_ddl;NA;NA
Maassluis;MAASSS;Vlotter;Waterhoogte;cm;GETETM2;NAP;148;1409;1954;rws_ddl;NA;NA
Nieuwe Statenzijl;NIEUWSTZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;1341;705;1954;rws_ddl;-3.2;1337.8
Oudeschild;OUDSD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-116;1409;1954;rws_ddl;-20.3;-136.3
Scheveningen;SCHEVNGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-4;623;1954;rws_ddl;-12.2;-16.2
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-123;1409;1954;rws_ddl;-21.7;-144.7
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;NVT;NAP;-51;2916;1954;rws_ddl;-21.7;-72.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;64;1409;1954;rws_ddl;-29.7;34.3
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;NVT;NAP;-54;2916;1954;rws_ddl;-29.7;-83.7
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-118;1409;1954;rws_ddl;-21.4;-139.4
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;NVT;NAP;-43;2916;1954;rws_ddl;-21.4;-64.4
