locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Vlotter;Waterhoogte;cm;GETETM2;NAP;50;1409;1975;rws_ddl;-27.4;22.6
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-187;1408;1975;rws_ddl;-8.2;-195.2
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-189;1409;1975;rws_ddl;-16.8;-205.8
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-147;1409;1975;rws_ddl;NA;NA
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-54;1409;1975;rws_ddl;-6.5;-60.5
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-35;1977;1975;rws_ddl;-27.7;-62.7
Holwerd;HOLWD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-190;1409;1975;rws_ddl;NA;NA
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;GETETM2;NAP;-201;1409;1975;rws_ddl;-16.8;-217.8
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-94;1409;1975;rws_ddl;NA;NA
Lauwersoog;LAUWOG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-171;1409;1975;rws_ddl;-12.5;-183.5
Maassluis;MAASSS;Vlotter;Waterhoogte;cm;GETETM2;NAP;164;1546;1975;rws_ddl;NA;NA
Nes;NES;Vlotter;Waterhoogte;cm;GETETM2;NAP;-149;1409;1975;rws_ddl;-11.1;-160.1
Nieuwe Statenzijl;NIEUWSTZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-45;1409;1975;rws_ddl;-3.2;-48.2
Oudeschild;OUDSD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-149;1409;1975;rws_ddl;-20.3;-169.3
Scheveningen;SCHEVNGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-28;1821;1975;rws_ddl;-12.2;-40.2
Schiermonnikoog;SCHIERMNOG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-184;1409;1975;rws_ddl;-9.7;-193.7
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-151;1409;1975;rws_ddl;-21.7;-172.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;60;1409;1975;rws_ddl;-29.7;30.3
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-162;1409;1975;rws_ddl;-21.4;-183.4
