locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-173;1410;1946;rws_ddl;-8.2;-181.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;4;2916;1946;rws_ddl;-8.2;-4.199999999999999
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-88;1409;1946;rws_ddl;-6.5;-94.5
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;NVT;NAP;-25;2916;1946;rws_ddl;-6.5;-31.5
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;37;1409;1946;rws_ddl;-29.7;7.300000000000001
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;NVT;NAP;-74;2916;1946;rws_ddl;-29.7;-103.7
