locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Vlotter;Waterhoogte;cm;GETETM2;NAP;105;1409;2011;rws_ddl;-27.4;105
Cadzand;CADZD;Vlotter;Waterhoogte;cm;NVT;NAP;-24;52495;2011;rws_ddl;-27.4;-24
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-132;1409;2011;rws_ddl;-8.2;-132
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;108;52501;2011;rws_ddl;-8.2;108
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-93;1409;2011;rws_ddl;-16.8;-93
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;NVT;NAP;16;52501;2011;rws_ddl;-16.8;16
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-16;1409;2011;rws_ddl;NA;-16
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;NVT;NAP;102;52501;2011;rws_ddl;NA;102
Haringvliet 10;HARVT10;Vlotter;Waterhoogte;cm;GETETM2;NAP;179;1409;2011;rws_ddl;-21;179
Haringvliet 10;HARVT10;Vlotter;Waterhoogte;cm;NVT;NAP;-6;52501;2011;rws_ddl;-21;-6
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;14;1409;2011;rws_ddl;-6.5;14
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;NVT;NAP;95;52501;2011;rws_ddl;-6.5;95
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;46;1939;2011;rws_ddl;-27.7;46
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;NVT;NAP;85;52501;2011;rws_ddl;-27.7;85
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;GETETM2;NAP;-34;1409;2011;rws_ddl;-16.8;-34
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;NVT;NAP;52;52501;2011;rws_ddl;-16.8;52
IJmuiden;IJMDBTHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;136;1409;2011;rws_ddl;-21.8;136
