locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Peilschaal;Waterhoogte;cm;GETETM2;NAP;82;730;1950;rws_ddl;-27.4;54.6
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-181;1410;1950;rws_ddl;-8.2;-189.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;-13;2916;1950;rws_ddl;-8.2;-21.2
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-151;1409;1950;rws_ddl;-16.8;-167.8
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;NVT;NAP;-55;2916;1950;rws_ddl;-16.8;-71.8
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-141;1409;1950;rws_ddl;NA;NA
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-49;1409;1950;rws_ddl;-6.5;-55.5
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;NVT;NAP;9;2916;1950;rws_ddl;-6.5;2.5
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-72;1945;1950;rws_ddl;-27.7;-99.7
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;NVT;NAP;-17;2916;1950;rws_ddl;-27.7;-44.7
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-56;1409;1950;rws_ddl;NA;NA
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;NVT;NAP;29;2916;1950;rws_ddl;NA;NA
Maassluis;MAASSS;Vlotter;Waterhoogte;cm;GETETM2;NAP;179;1409;1950;rws_ddl;NA;NA
Nieuwe Statenzijl;NIEUWSTZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;1313;705;1950;rws_ddl;-3.2;1309.8
Oudeschild;OUDSD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-115;1409;1950;rws_ddl;-20.3;-135.3
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-113;1409;1950;rws_ddl;-21.7;-134.7
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;NVT;NAP;-48;2916;1950;rws_ddl;-21.7;-69.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;50;1409;1950;rws_ddl;-29.7;20.3
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;NVT;NAP;-52;2916;1950;rws_ddl;-29.7;-81.7
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-85;1409;1950;rws_ddl;-21.4;-106.4
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;NVT;NAP;-20;2916;1950;rws_ddl;-21.4;-41.4
