locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Vlotter;Waterhoogte;cm;GETETM2;NAP;91;1409;2013;rws_ddl;-27.4;91
Cadzand;CADZD;Vlotter;Waterhoogte;cm;NVT;NAP;-37;52501;2013;rws_ddl;-27.4;-37
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-178;1408;2013;rws_ddl;-8.2;-178
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;61;52501;2013;rws_ddl;-8.2;61
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-135;1409;2013;rws_ddl;-16.8;-135
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;NVT;NAP;-28;52501;2013;rws_ddl;-16.8;-28
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-54;1409;2013;rws_ddl;NA;-54
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;NVT;NAP;58;52501;2013;rws_ddl;NA;58
Haringvliet 10;HARVT10;Vlotter;Waterhoogte;cm;GETETM2;NAP;164;1409;2013;rws_ddl;-21;164
Haringvliet 10;HARVT10;Vlotter;Waterhoogte;cm;NVT;NAP;-26;52501;2013;rws_ddl;-21;-26
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-51;1409;2013;rws_ddl;-6.5;-51
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;NVT;NAP;39;52501;2013;rws_ddl;-6.5;39
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;25;2049;2013;rws_ddl;-27.7;25
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;NVT;NAP;69;52501;2013;rws_ddl;-27.7;69
Holwerd;HOLWD;Radar;Waterhoogte;cm;GETETM2;NAP;-273;1409;2013;rws_ddl;NA;-273
Holwerd;HOLWD;Radar;Waterhoogte;cm;NVT;NAP;-33;52501;2013;rws_ddl;NA;-33
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;GETETM2;NAP;-82;1409;2013;rws_ddl;-16.8;-82
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;NVT;NAP;6;52501;2013;rws_ddl;-16.8;6
IJmuiden;IJMDBTHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;109;1409;2013;rws_ddl;-21.8;109
IJmuiden;IJMDBTHVN;Vlotter;Waterhoogte;cm;NVT;NAP;2;52501;2013;rws_ddl;-21.8;2
K14 platform;K14PFM;Radar;Waterhoogte;cm;NVT;MSL;-69;51445;2013;rws_ddl;NA;-69
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-47;1409;2013;rws_ddl;NA;-47
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;NVT;NAP;40;52501;2013;rws_ddl;NA;40
L9 platform;L9PFM;Radar;Waterhoogte;cm;NVT;MSL;-40;51611;2013;rws_ddl;NA;-40
