locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-145;1409;1945;rws_ddl;-8.2;-153.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;30;2916;1945;rws_ddl;-8.2;21.8
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-62;1409;1945;rws_ddl;-6.5;-68.5
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;NVT;NAP;-2;2916;1945;rws_ddl;-6.5;-8.5
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;18;1409;1945;rws_ddl;-29.7;-11.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;NVT;NAP;-82;2916;1945;rws_ddl;-29.7;-111.7
