locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Vlotter;Waterhoogte;cm;GETETM2;NAP;1805;704;1903;rws_ddl;-27.4;1777.6
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-210;1409;1903;rws_ddl;-8.2;-218.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;-32;2917;1903;rws_ddl;-8.2;-40.2
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-247;1408;1903;rws_ddl;-16.8;-263.8
Den Oever buiten;DENOVBTN;Peilschaal;Waterhoogte;cm;GETETM2;NAP;-80;734;1903;rws_ddl;NA;NA
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-34;1409;1903;rws_ddl;-6.5;-40.5
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-135;1999;1903;rws_ddl;-27.7;-162.7
Maassluis;MAASSS;Vlotter;Waterhoogte;cm;GETETM2;NAP;145;1409;1903;rws_ddl;NA;NA
Nieuwe Statenzijl;NIEUWSTZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;1380;705;1903;rws_ddl;-3.2;1376.8
Scheveningen;SCHEVNGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;158;1409;1903;rws_ddl;-12.2;145.8
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-127;1409;1903;rws_ddl;-21.7;-148.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-47;1409;1903;rws_ddl;-29.7;-76.7
