locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Vlotter;Waterhoogte;cm;GETETM2;NAP;86;1409;1967;rws_ddl;-27.4;58.6
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-97;1409;1967;rws_ddl;-8.2;-105.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;109;2917;1967;rws_ddl;-8.2;100.8
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-61;1409;1967;rws_ddl;-16.8;-77.8
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;NVT;NAP;35;2917;1967;rws_ddl;-16.8;18.2
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-47;1409;1967;rws_ddl;NA;NA
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;46;1409;1967;rws_ddl;-6.5;39.5
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;NVT;NAP;95;2917;1967;rws_ddl;-6.5;88.5
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-30;2075;1967;rws_ddl;-27.7;-57.7
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;NVT;NAP;57;2917;1967;rws_ddl;-27.7;29.3
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;17;1409;1967;rws_ddl;NA;NA
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;NVT;NAP;88;2917;1967;rws_ddl;NA;NA
Maassluis;MAASSS;Vlotter;Waterhoogte;cm;GETETM2;NAP;247;1408;1967;rws_ddl;NA;NA
Nes;NES;Vlotter;Waterhoogte;cm;GETETM2;NAP;-42;1409;1967;rws_ddl;-11.1;-53.1
Nieuwe Statenzijl;NIEUWSTZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;1451;704;1967;rws_ddl;-3.2;1447.8
Oudeschild;OUDSD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-38;1409;1967;rws_ddl;-20.3;-58.3
Scheveningen;SCHEVNGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;190;1409;1967;rws_ddl;-12.2;177.8
Scheveningen;SCHEVNGN;Vlotter;Waterhoogte;cm;NVT;NAP;42;2917;1967;rws_ddl;-12.2;29.8
Schiermonnikoog;SCHIERMNOG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-119;1409;1967;rws_ddl;-9.7;-128.7
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-90;1409;1967;rws_ddl;-21.7;-111.7
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;NVT;NAP;-27;2917;1967;rws_ddl;-21.7;-48.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;104;1409;1967;rws_ddl;-29.7;74.3
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;NVT;NAP;-7;5069;1967;rws_ddl;-29.7;-36.7
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-70;1409;1967;rws_ddl;-21.4;-91.4
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;NVT;NAP;0;2917;1967;rws_ddl;-21.4;-21.4
