locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-191;1409;1921;rws_ddl;-8.2;-199.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;-12;2917;1921;rws_ddl;-8.2;-20.2
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-48;1410;1921;rws_ddl;-6.5;-54.5
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-86;1409;1921;rws_ddl;-29.7;-115.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;NVT;NAP;-172;2917;1921;rws_ddl;-29.7;-201.7
