locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Vlotter;Waterhoogte;cm;GETETM2;NAP;105;1409;1982;rws_ddl;-27.4;77.6
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-129;1409;1982;rws_ddl;-8.2;-137.2
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-120;1409;1982;rws_ddl;-16.8;-136.8
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-66;1409;1982;rws_ddl;NA;NA
Haringvliet 10;HARVT10;Vlotter;Waterhoogte;cm;GETETM2;NAP;118;1409;1982;rws_ddl;-21;97
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;1;1409;1982;rws_ddl;-6.5;-5.5
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;17;2002;1982;rws_ddl;-27.7;-10.7
Holwerd;HOLWD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-191;1408;1982;rws_ddl;NA;NA
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;GETETM2;NAP;-154;1409;1982;rws_ddl;-16.8;-170.8
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;NVT;NAP;-13;42060;1982;rws_ddl;-16.8;-29.8
IJmuiden;IJMDBTHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;101;1408;1982;rws_ddl;-21.8;79.2
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-30;1409;1982;rws_ddl;NA;NA
Lauwersoog;LAUWOG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-140;1408;1982;rws_ddl;-12.5;-152.5
Maassluis;MAASSS;Vlotter;Waterhoogte;cm;GETETM2;NAP;266;1408;1982;rws_ddl;NA;NA
Nes;NES;Vlotter;Waterhoogte;cm;GETETM2;NAP;-71;1408;1982;rws_ddl;-11.1;-82.1
Nieuwe Statenzijl;NIEUWSTZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;75;1409;1982;rws_ddl;-3.2;71.8
Oosterschelde 11;OOSTSDE11;Vlotter;Waterhoogte;cm;NVT;NAP;-4;24798;1982;rws_ddl;NA;NA
Oosterschelde 14;OOSTSDE14;Vlotter;Waterhoogte;cm;NVT;NAP;26;26068;1982;rws_ddl;NA;NA
Oudeschild;OUDSD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-72;1409;1982;rws_ddl;-20.3;-92.3
Scheveningen;SCHEVNGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;30;1742;1982;rws_ddl;-12.2;17.8
Schiermonnikoog;SCHIERMNOG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-141;1408;1982;rws_ddl;-9.7;-150.7
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-93;1409;1982;rws_ddl;-21.7;-114.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;108;1409;1982;rws_ddl;-29.7;78.3
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-65;1409;1982;rws_ddl;-21.4;-86.4
