locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-231;1409;1937;rws_ddl;-8.2;-239.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;-45;2917;1937;rws_ddl;-8.2;-53.2
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-104;1409;1937;rws_ddl;-6.5;-110.5
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;25;1409;1937;rws_ddl;-29.7;-4.699999999999999
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;NVT;NAP;-83;2917;1937;rws_ddl;-29.7;-112.7
