locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Vlotter;Waterhoogte;cm;GETETM2;NAP;102;1409;1994;rws_ddl;-27.4;74.6
Cadzand;CADZD;Vlotter;Waterhoogte;cm;NVT;NAP;-23;52501;1994;rws_ddl;-27.4;-50.4
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-127;1408;1994;rws_ddl;-8.2;-135.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;80;52501;1994;rws_ddl;-8.2;71.8
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-91;1408;1994;rws_ddl;-16.8;-107.8
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;NVT;NAP;22;52501;1994;rws_ddl;-16.8;5.199999999999999
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-21;1409;1994;rws_ddl;NA;NA
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;NVT;NAP;100;52501;1994;rws_ddl;NA;NA
Haringvliet 10;HARVT10;Vlotter;Waterhoogte;cm;GETETM2;NAP;181;1409;1994;rws_ddl;-21;160
Haringvliet 10;HARVT10;Vlotter;Waterhoogte;cm;NVT;NAP;-28;52501;1994;rws_ddl;-21;-49
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-4;1409;1994;rws_ddl;-6.5;-10.5
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;NVT;NAP;62;52501;1994;rws_ddl;-6.5;55.5
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;49;1937;1994;rws_ddl;-27.7;21.3
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;NVT;NAP;91;52501;1994;rws_ddl;-27.7;63.3
Holwerd;HOLWD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-129;1410;1994;rws_ddl;NA;NA
Holwerd;HOLWD;Vlotter;Waterhoogte;cm;NVT;NAP;56;52501;1994;rws_ddl;NA;NA
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;GETETM2;NAP;-93;1409;1994;rws_ddl;-16.8;-109.8
Huibertgat;HUIBGT;Vlotter;Waterhoogte;cm;NVT;NAP;-4;52501;1994;rws_ddl;-16.8;-20.8
IJmuiden;IJMDBTHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;143;1409;1994;rws_ddl;-21.8;121.2
IJmuiden;IJMDBTHVN;Vlotter;Waterhoogte;cm;NVT;NAP;41;52501;1994;rws_ddl;-21.8;19.2
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-30;1409;1994;rws_ddl;NA;NA
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;NVT;NAP;52;52501;1994;rws_ddl;NA;NA
Lauwersoog;LAUWOG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-128;1409;1994;rws_ddl;-12.5;-140.5
Lauwersoog;LAUWOG;Vlotter;Waterhoogte;cm;NVT;NAP;9;52501;1994;rws_ddl;-12.5;-3.5
Lichteiland Goeree;LICHTELGRE;Stappenbaak;Waterhoogte;cm;GETETMSL2;MSL;175;1409;1994;rws_ddl;NA;NA
Lichteiland Goeree;LICHTELGRE;Stappenbaak;Waterhoogte;cm;NVT;MSL;2;52501;1994;rws_ddl;NA;NA
Maassluis;MAASSS;Vlotter;Waterhoogte;cm;GETETM2;NAP;188;1671;1994;rws_ddl;NA;NA
Nes;NES;Vlotter;Waterhoogte;cm;GETETM2;NAP;-101;1409;1994;rws_ddl;-11.1;-112.1
Nes;NES;Vlotter;Waterhoogte;cm;NVT;NAP;33;52501;1994;rws_ddl;-11.1;21.9
Nieuwe Statenzijl;NIEUWSTZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;75;1409;1994;rws_ddl;-3.2;71.8
Nieuwe Statenzijl;NIEUWSTZL;Vlotter;Waterhoogte;cm;NVT;NAP;234;52501;1994;rws_ddl;-3.2;230.8
Oosterschelde 11;OOSTSDE11;Vlotter;Waterhoogte;cm;GETETM2;NAP;115;1409;1994;rws_ddl;NA;NA
Oosterschelde 11;OOSTSDE11;Vlotter;Waterhoogte;cm;NVT;NAP;-34;103920;1994;rws_ddl;NA;NA
