locatie.naam;locatie.code;meetapparaat.omschrijving;grootheid.omschrijving;eenheid.code;groepering.code;hoedanigheid.code;annual_mean_mm;n;year;source;verschil [mm];annual_mean_mm_corrected
Cadzand;CADZD;Peilschaal;Waterhoogte;cm;GETETM2;NAP;48;732;1956;rws_ddl;-27.4;20.6
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;-212;1413;1956;rws_ddl;-8.2;-220.2
Delfzijl;DELFZL;Vlotter;Waterhoogte;cm;NVT;NAP;-32;2924;1956;rws_ddl;-8.2;-40.2
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;GETETM2;NAP;-221;1412;1956;rws_ddl;-16.8;-237.8
Den Helder;DENHDR;Vlotter;Waterhoogte;cm;NVT;NAP;-120;2924;1956;rws_ddl;-16.8;-136.8
Den Oever buiten;DENOVBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-173;1413;1956;rws_ddl;NA;NA
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-107;1413;1956;rws_ddl;-6.5;-113.5
Harlingen;HARLGN;Vlotter;Waterhoogte;cm;NVT;NAP;-54;2924;1956;rws_ddl;-6.5;-60.5
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-138;2045;1956;rws_ddl;-27.7;-165.7
Hoek van Holland;HOEKVHLD;Vlotter;Waterhoogte;cm;NVT;NAP;-49;2909;1956;rws_ddl;-27.7;-76.7
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-94;1413;1956;rws_ddl;NA;NA
Kornwerderzand buiten;KORNWDZBTN;Vlotter;Waterhoogte;cm;NVT;NAP;-9;2924;1956;rws_ddl;NA;NA
Maassluis;MAASSS;Vlotter;Waterhoogte;cm;GETETM2;NAP;132;1412;1956;rws_ddl;NA;NA
Nieuwe Statenzijl;NIEUWSTZL;Vlotter;Waterhoogte;cm;GETETM2;NAP;1304;706;1956;rws_ddl;-3.2;1300.8
Oudeschild;OUDSD;Vlotter;Waterhoogte;cm;GETETM2;NAP;-166;1413;1956;rws_ddl;-20.3;-186.3
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;GETETM2;NAP;-160;1413;1956;rws_ddl;-21.7;-181.7
Vlieland haven;VLIELHVN;Vlotter;Waterhoogte;cm;NVT;NAP;-86;2924;1956;rws_ddl;-21.7;-107.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;GETETM2;NAP;3;1413;1956;rws_ddl;-29.7;-26.7
Vlissingen;VLISSGN;Vlotter;Waterhoogte;cm;NVT;NAP;-120;2924;1956;rws_ddl;-29.7;-149.7
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;GETETM2;NAP;-153;1413;1956;rws_ddl;-21.4;-174.4
West-Terschelling;WESTTSLG;Vlotter;Waterhoogte;cm;NVT;NAP;-73;2924;1956;rws_ddl;-21.4;-94.4
