year,locatie.code,locatie.naam
1975,LAUWOG,Lauwersoog
1976,LAUWOG,Lauwersoog
1977,LAUWOG,Lauwersoog
1978,LAUWOG,Lauwersoog
1979,LAUWOG,Lauwersoog
1980,LAUWOG,Lauwersoog
1981,LAUWOG,Lauwersoog
1982,LAUWOG,Lauwersoog
1983,LAUWOG,Lauwersoog
1984,LAUWOG,Lauwersoog
1985,LAUWOG,Lauwersoog
1986,LAUWOG,Lauwersoog
1987,LAUWOG,Lauwersoog
1988,LAUWOG,Lauwersoog
1989,LAUWOG,Lauwersoog
1990,LAUWOG,Lauwersoog
1991,LAUWOG,Lauwersoog
1992,LAUWOG,Lauwersoog
1993,LAUWOG,Lauwersoog
1994,LAUWOG,Lauwersoog
1995,LAUWOG,Lauwersoog
1996,LAUWOG,Lauwersoog
1997,LAUWOG,Lauwersoog
1998,LAUWOG,Lauwersoog
1999,LAUWOG,Lauwersoog
2000,LAUWOG,Lauwersoog
2001,LAUWOG,Lauwersoog
2002,LAUWOG,Lauwersoog
2003,LAUWOG,Lauwersoog
2004,LAUWOG,Lauwersoog
2005,LAUWOG,Lauwersoog
2006,LAUWOG,Lauwersoog
2007,LAUWOG,Lauwersoog
2008,LAUWOG,Lauwersoog
2009,LAUWOG,Lauwersoog
2010,LAUWOG,Lauwersoog
2011,LAUWOG,Lauwersoog
2012,LAUWOG,Lauwersoog
2013,LAUWOG,Lauwersoog
2014,LAUWOG,Lauwersoog
2015,LAUWOG,Lauwersoog
2016,LAUWOG,Lauwersoog
2017,LAUWOG,Lauwersoog
2018,LAUWOG,Lauwersoog
2019,LAUWOG,Lauwersoog
2020,LAUWOG,Lauwersoog
2021,LAUWOG,Lauwersoog
2022,LAUWOG,Lauwersoog
2023,LAUWOG,Lauwersoog
2024,LEG,Lichteiland Goeree
1983,LICHTELGRE,Lichteiland Goeree
1984,LICHTELGRE,Lichteiland Goeree
1985,LICHTELGRE,Lichteiland Goeree
1986,LICHTELGRE,Lichteiland Goeree
1987,LICHTELGRE,Lichteiland Goeree
1988,LICHTELGRE,Lichteiland Goeree
1989,LICHTELGRE,Lichteiland Goeree
1990,LICHTELGRE,Lichteiland Goeree
1991,LICHTELGRE,Lichteiland Goeree
1992,LICHTELGRE,Lichteiland Goeree
1993,LICHTELGRE,Lichteiland Goeree
1994,LICHTELGRE,Lichteiland Goeree
1995,LICHTELGRE,Lichteiland Goeree
1996,LICHTELGRE,Lichteiland Goeree
1997,LICHTELGRE,Lichteiland Goeree
1998,LICHTELGRE,Lichteiland Goeree
1999,LICHTELGRE,Lichteiland Goeree
2000,LICHTELGRE,Lichteiland Goeree
2001,LICHTELGRE,Lichteiland Goeree
2002,LICHTELGRE,Lichteiland Goeree
2003,LICHTELGRE,Lichteiland Goeree
2004,LICHTELGRE,Lichteiland Goeree
2005,LICHTELGRE,Lichteiland Goeree
2006,LICHTELGRE,Lichteiland Goeree
2007,LICHTELGRE,Lichteiland Goeree
2008,LICHTELGRE,Lichteiland Goeree
2009,LICHTELGRE,Lichteiland Goeree
2010,LICHTELGRE,Lichteiland Goeree
2011,LICHTELGRE,Lichteiland Goeree
2012,LICHTELGRE,Lichteiland Goeree
2013,LICHTELGRE,Lichteiland Goeree
2014,LICHTELGRE,Lichteiland Goeree
2015,LICHTELGRE,Lichteiland Goeree
2016,LICHTELGRE,Lichteiland Goeree
2017,LICHTELGRE,Lichteiland Goeree
2018,LICHTELGRE,Lichteiland Goeree
2019,LICHTELGRE,Lichteiland Goeree
2020,LICHTELGRE,Lichteiland Goeree
2021,LICHTELGRE,Lichteiland Goeree
2022,LICHTELGRE,Lichteiland Goeree
2023,LICHTELGRE,Lichteiland Goeree
2024,MAAS,Maassluis
1900,MAASSS,Maassluis
1901,MAASSS,Maassluis
1902,MAASSS,Maassluis
1903,MAASSS,Maassluis
1904,MAASSS,Maassluis
1905,MAASSS,Maassluis
1924,MAASSS,Maassluis
1925,MAASSS,Maassluis
1926,MAASSS,Maassluis
1927,MAASSS,Maassluis
1928,MAASSS,Maassluis
1929,MAASSS,Maassluis
1950,MAASSS,Maassluis
1951,MAASSS,Maassluis
1952,MAASSS,Maassluis
1953,MAASSS,Maassluis
1954,MAASSS,Maassluis
1955,MAASSS,Maassluis
1956,MAASSS,Maassluis
1957,MAASSS,Maassluis
1958,MAASSS,Maassluis
1959,MAASSS,Maassluis
1960,MAASSS,Maassluis
1961,MAASSS,Maassluis
1962,MAASSS,Maassluis
1963,MAASSS,Maassluis
1964,MAASSS,Maassluis
1965,MAASSS,Maassluis
1966,MAASSS,Maassluis
1967,MAASSS,Maassluis
1968,MAASSS,Maassluis
1969,MAASSS,Maassluis
1970,MAASSS,Maassluis
1971,MAASSS,Maassluis
1972,MAASSS,Maassluis
1973,MAASSS,Maassluis
1974,MAASSS,Maassluis
1975,MAASSS,Maassluis
1976,MAASSS,Maassluis
1977,MAASSS,Maassluis
1978,MAASSS,Maassluis
1979,MAASSS,Maassluis
1980,MAASSS,Maassluis
1981,MAASSS,Maassluis
1982,MAASSS,Maassluis
1983,MAASSS,Maassluis
1984,MAASSS,Maassluis
1985,MAASSS,Maassluis
1986,MAASSS,Maassluis
1987,MAASSS,Maassluis
1988,MAASSS,Maassluis
1989,MAASSS,Maassluis
1990,MAASSS,Maassluis
1991,MAASSS,Maassluis
1992,MAASSS,Maassluis
1993,MAASSS,Maassluis
1994,MAASSS,Maassluis
1995,MAASSS,Maassluis
1996,MAASSS,Maassluis
1997,MAASSS,Maassluis
1998,MAASSS,Maassluis
1999,MAASSS,Maassluis
2000,MAASSS,Maassluis
2001,MAASSS,Maassluis
2002,MAASSS,Maassluis
2003,MAASSS,Maassluis
2004,MAASSS,Maassluis
2005,MAASSS,Maassluis
2006,MAASSS,Maassluis
2007,MAASSS,Maassluis
2008,MAASSS,Maassluis
2009,MAASSS,Maassluis
2010,MAASSS,Maassluis
2011,MAASSS,Maassluis
2012,MAASSS,Maassluis
2013,MAASSS,Maassluis
2014,MAASSS,Maassluis
2015,MAASSS,Maassluis
2016,MAASSS,Maassluis
2017,MAASSS,Maassluis
2018,MAASSS,Maassluis
2019,MAASSS,Maassluis
2020,MAASSS,Maassluis
2021,MAASSS,Maassluis
2022,MAASSS,Maassluis
2023,MAASSS,Maassluis
1962,NES,Nes
1963,NES,Nes
1964,NES,Nes
1965,NES,Nes
1966,NES,Nes
1967,NES,Nes
1968,NES,Nes
1969,NES,Nes
1970,NES,Nes
1971,NES,Nes
1972,NES,Nes
1973,NES,Nes
1974,NES,Nes
1975,NES,Nes
1976,NES,Nes
1977,NES,Nes
1978,NES,Nes
1979,NES,Nes
1980,NES,Nes
1981,NES,Nes
1982,NES,Nes
1983,NES,Nes
1984,NES,Nes
1985,NES,Nes
1986,NES,Nes
1987,NES,Nes
1988,NES,Nes
1989,NES,Nes
1990,NES,Nes
1991,NES,Nes
1992,NES,Nes
1993,NES,Nes
1994,NES,Nes
1995,NES,Nes
1996,NES,Nes
1997,NES,Nes
1998,NES,Nes
1999,NES,Nes
2000,NES,Nes
2001,NES,Nes
2002,NES,Nes
2003,NES,Nes
2004,NES,Nes
2005,NES,Nes
2006,NES,Nes
2007,NES,Nes
2008,NES,Nes
2009,NES,Nes
2010,NES,Nes
2011,NES,Nes
2012,NES,Nes
2013,NES,Nes
2014,NES,Nes
2015,NES,Nes
2016,NES,Nes
2017,NES,Nes
2018,NES,Nes
2019,NES,Nes
2020,NES,Nes
2021,NES,Nes
2022,NES,Nes
2023,NES,Nes
2024,NES,Nes
1900,NIEUWSTZL,Nieuwe Statenzijl
1901,NIEUWSTZL,Nieuwe Statenzijl
1902,NIEUWSTZL,Nieuwe Statenzijl
1903,NIEUWSTZL,Nieuwe Statenzijl
1904,NIEUWSTZL,Nieuwe Statenzijl
1905,NIEUWSTZL,Nieuwe Statenzijl
1924,NIEUWSTZL,Nieuwe Statenzijl
1925,NIEUWSTZL,Nieuwe Statenzijl
1926,NIEUWSTZL,Nieuwe Statenzijl
1927,NIEUWSTZL,Nieuwe Statenzijl
1928,NIEUWSTZL,Nieuwe Statenzijl
1929,NIEUWSTZL,Nieuwe Statenzijl
1950,NIEUWSTZL,Nieuwe Statenzijl
1951,NIEUWSTZL,Nieuwe Statenzijl
1952,NIEUWSTZL,Nieuwe Statenzijl
1953,NIEUWSTZL,Nieuwe Statenzijl
1954,NIEUWSTZL,Nieuwe Statenzijl
1955,NIEUWSTZL,Nieuwe Statenzijl
1956,NIEUWSTZL,Nieuwe Statenzijl
1957,NIEUWSTZL,Nieuwe Statenzijl
1958,NIEUWSTZL,Nieuwe Statenzijl
1959,NIEUWSTZL,Nieuwe Statenzijl
1960,NIEUWSTZL,Nieuwe Statenzijl
1961,NIEUWSTZL,Nieuwe Statenzijl
1962,NIEUWSTZL,Nieuwe Statenzijl
1963,NIEUWSTZL,Nieuwe Statenzijl
1964,NIEUWSTZL,Nieuwe Statenzijl
1965,NIEUWSTZL,Nieuwe Statenzijl
1966,NIEUWSTZL,Nieuwe Statenzijl
1967,NIEUWSTZL,Nieuwe Statenzijl
1968,NIEUWSTZL,Nieuwe Statenzijl
1969,NIEUWSTZL,Nieuwe Statenzijl
1970,NIEUWSTZL,Nieuwe Statenzijl
1971,NIEUWSTZL,Nieuwe Statenzijl
1972,NIEUWSTZL,Nieuwe Statenzijl
1973,NIEUWSTZL,Nieuwe Statenzijl
1974,NIEUWSTZL,Nieuwe Statenzijl
1975,NIEUWSTZL,Nieuwe Statenzijl
1976,NIEUWSTZL,Nieuwe Statenzijl
1977,NIEUWSTZL,Nieuwe Statenzijl
1978,NIEUWSTZL,Nieuwe Statenzijl
1979,NIEUWSTZL,Nieuwe Statenzijl
1980,NIEUWSTZL,Nieuwe Statenzijl
1981,NIEUWSTZL,Nieuwe Statenzijl
1982,NIEUWSTZL,Nieuwe Statenzijl
1983,NIEUWSTZL,Nieuwe Statenzijl
1984,NIEUWSTZL,Nieuwe Statenzijl
1985,NIEUWSTZL,Nieuwe Statenzijl
1986,NIEUWSTZL,Nieuwe Statenzijl
1987,NIEUWSTZL,Nieuwe Statenzijl
1988,NIEUWSTZL,Nieuwe Statenzijl
1989,NIEUWSTZL,Nieuwe Statenzijl
1990,NIEUWSTZL,Nieuwe Statenzijl
1991,NIEUWSTZL,Nieuwe Statenzijl
1992,NIEUWSTZL,Nieuwe Statenzijl
1993,NIEUWSTZL,Nieuwe Statenzijl
1994,NIEUWSTZL,Nieuwe Statenzijl
1995,NIEUWSTZL,Nieuwe Statenzijl
1996,NIEUWSTZL,Nieuwe Statenzijl
1997,NIEUWSTZL,Nieuwe Statenzijl
1998,NIEUWSTZL,Nieuwe Statenzijl
1999,NIEUWSTZL,Nieuwe Statenzijl
2000,NIEUWSTZL,Nieuwe Statenzijl
2001,NIEUWSTZL,Nieuwe Statenzijl
2002,NIEUWSTZL,Nieuwe Statenzijl
2003,NIEUWSTZL,Nieuwe Statenzijl
2004,NIEUWSTZL,Nieuwe Statenzijl
2005,NIEUWSTZL,Nieuwe Statenzijl
2006,NIEUWSTZL,Nieuwe Statenzijl
2007,NIEUWSTZL,Nieuwe Statenzijl
2008,NIEUWSTZL,Nieuwe Statenzijl
2009,NIEUWSTZL,Nieuwe Statenzijl
2010,NIEUWSTZL,Nieuwe Statenzijl
2011,NIEUWSTZL,Nieuwe Statenzijl
2012,NIEUWSTZL,Nieuwe Statenzijl
2013,NIEUWSTZL,Nieuwe Statenzijl
2014,NIEUWSTZL,Nieuwe Statenzijl
2015,NIEUWSTZL,Nieuwe Statenzijl
2016,NIEUWSTZL,Nieuwe Statenzijl
2017,NIEUWSTZL,Nieuwe Statenzijl
2018,NIEUWSTZL,Nieuwe Statenzijl
2019,NIEUWSTZL,Nieuwe Statenzijl
2020,NIEUWSTZL,Nieuwe Statenzijl
2021,NIEUWSTZL,Nieuwe Statenzijl
2022,NIEUWSTZL,Nieuwe Statenzijl
2023,NIEUWSTZL,Nieuwe Statenzijl
2024,NWST,Nieuwe Statenzijl
2024,OEBU,Den Oever buiten
1982,OOSTSDE11,Oosterschelde 11
1983,OOSTSDE11,Oosterschelde 11
1984,OOSTSDE11,Oosterschelde 11
1985,OOSTSDE11,Oosterschelde 11
1986,OOSTSDE11,Oosterschelde 11
1987,OOSTSDE11,Oosterschelde 11
1988,OOSTSDE11,Oosterschelde 11
1989,OOSTSDE11,Oosterschelde 11
1990,OOSTSDE11,Oosterschelde 11
1991,OOSTSDE11,Oosterschelde 11
1992,OOSTSDE11,Oosterschelde 11
1993,OOSTSDE11,Oosterschelde 11
1994,OOSTSDE11,Oosterschelde 11
1995,OOSTSDE11,Oosterschelde 11
1996,OOSTSDE11,Oosterschelde 11
1997,OOSTSDE11,Oosterschelde 11
1998,OOSTSDE11,Oosterschelde 11
1999,OOSTSDE11,Oosterschelde 11
2000,OOSTSDE11,Oosterschelde 11
2001,OOSTSDE11,Oosterschelde 11
2002,OOSTSDE11,Oosterschelde 11
2003,OOSTSDE11,Oosterschelde 11
2004,OOSTSDE11,Oosterschelde 11
2005,OOSTSDE11,Oosterschelde 11
2006,OOSTSDE11,Oosterschelde 11
2007,OOSTSDE11,Oosterschelde 11
2008,OOSTSDE11,Oosterschelde 11
2009,OOSTSDE11,Oosterschelde 11
2010,OOSTSDE11,Oosterschelde 11
2011,OOSTSDE11,Oosterschelde 11
2012,OOSTSDE11,Oosterschelde 11
2013,OOSTSDE11,Oosterschelde 11
2014,OOSTSDE11,Oosterschelde 11
2015,OOSTSDE11,Oosterschelde 11
2016,OOSTSDE11,Oosterschelde 11
2017,OOSTSDE11,Oosterschelde 11
2018,OOSTSDE11,Oosterschelde 11
2019,OOSTSDE11,Oosterschelde 11
2020,OOSTSDE11,Oosterschelde 11
2021,OOSTSDE11,Oosterschelde 11
2022,OOSTSDE11,Oosterschelde 11
1982,OOSTSDE14,Oosterschelde 14
1983,OOSTSDE14,Oosterschelde 14
1984,OOSTSDE14,Oosterschelde 14
1985,OOSTSDE14,Oosterschelde 14
1986,OOSTSDE14,Oosterschelde 14
1987,OOSTSDE14,Oosterschelde 14
1988,OOSTSDE14,Oosterschelde 14
1989,OOSTSDE14,Oosterschelde 14
1990,OOSTSDE14,Oosterschelde 14
1991,OOSTSDE14,Oosterschelde 14
1992,OOSTSDE14,Oosterschelde 14
1993,OOSTSDE14,Oosterschelde 14
1994,OOSTSDE14,Oosterschelde 14
1995,OOSTSDE14,Oosterschelde 14
1996,OOSTSDE14,Oosterschelde 14
1997,OOSTSDE14,Oosterschelde 14
1998,OOSTSDE14,Oosterschelde 14
1999,OOSTSDE14,Oosterschelde 14
2000,OOSTSDE14,Oosterschelde 14
2001,OOSTSDE14,Oosterschelde 14
2002,OOSTSDE14,Oosterschelde 14
2003,OOSTSDE14,Oosterschelde 14
2004,OOSTSDE14,Oosterschelde 14
2005,OOSTSDE14,Oosterschelde 14
2006,OOSTSDE14,Oosterschelde 14
2007,OOSTSDE14,Oosterschelde 14
2008,OOSTSDE14,Oosterschelde 14
2009,OOSTSDE14,Oosterschelde 14
2010,OOSTSDE14,Oosterschelde 14
2011,OOSTSDE14,Oosterschelde 14
2012,OOSTSDE14,Oosterschelde 14
2013,OOSTSDE14,Oosterschelde 14
2014,OOSTSDE14,Oosterschelde 14
2015,OOSTSDE14,Oosterschelde 14
2016,OOSTSDE14,Oosterschelde 14
2017,OOSTSDE14,Oosterschelde 14
2018,OOSTSDE14,Oosterschelde 14
2019,OOSTSDE14,Oosterschelde 14
2020,OOSTSDE14,Oosterschelde 14
2021,OOSTSDE14,Oosterschelde 14
2022,OOSTSDE14,Oosterschelde 14
2023,OOSTSDE14,Oosterschelde 14
2024,OS11,Oosterschelde 11
2024,OS14,Oosterschelde 14
2024,OS4,Oosterschelde 4
2024,OUDE,Oudeschild
1950,OUDSD,Oudeschild
1951,OUDSD,Oudeschild
1952,OUDSD,Oudeschild
1953,OUDSD,Oudeschild
1954,OUDSD,Oudeschild
1955,OUDSD,Oudeschild
1956,OUDSD,Oudeschild
1957,OUDSD,Oudeschild
1958,OUDSD,Oudeschild
1959,OUDSD,Oudeschild
1960,OUDSD,Oudeschild
1961,OUDSD,Oudeschild
1962,OUDSD,Oudeschild
1963,OUDSD,Oudeschild
1964,OUDSD,Oudeschild
1965,OUDSD,Oudeschild
1966,OUDSD,Oudeschild
1967,OUDSD,Oudeschild
1968,OUDSD,Oudeschild
1969,OUDSD,Oudeschild
1970,OUDSD,Oudeschild
1971,OUDSD,Oudeschild
1972,OUDSD,Oudeschild
1973,OUDSD,Oudeschild
1974,OUDSD,Oudeschild
1975,OUDSD,Oudeschild
1976,OUDSD,Oudeschild
1977,OUDSD,Oudeschild
1978,OUDSD,Oudeschild
1979,OUDSD,Oudeschild
1980,OUDSD,Oudeschild
1981,OUDSD,Oudeschild
1982,OUDSD,Oudeschild
1983,OUDSD,Oudeschild
1984,OUDSD,Oudeschild
1985,OUDSD,Oudeschild
1986,OUDSD,Oudeschild
1987,OUDSD,Oudeschild
1988,OUDSD,Oudeschild
1989,OUDSD,Oudeschild
1990,OUDSD,Oudeschild
1991,OUDSD,Oudeschild
1992,OUDSD,Oudeschild
1993,OUDSD,Oudeschild
1994,OUDSD,Oudeschild
1995,OUDSD,Oudeschild
1996,OUDSD,Oudeschild
1997,OUDSD,Oudeschild
1998,OUDSD,Oudeschild
1999,OUDSD,Oudeschild
2000,OUDSD,Oudeschild
2001,OUDSD,Oudeschild
2002,OUDSD,Oudeschild
2003,OUDSD,Oudeschild
2004,OUDSD,Oudeschild
2005,OUDSD,Oudeschild
2006,OUDSD,Oudeschild
2007,OUDSD,Oudeschild
2008,OUDSD,Oudeschild
2009,OUDSD,Oudeschild
2010,OUDSD,Oudeschild
2011,OUDSD,Oudeschild
2012,OUDSD,Oudeschild
2013,OUDSD,Oudeschild
2014,OUDSD,Oudeschild
2015,OUDSD,Oudeschild
2016,OUDSD,Oudeschild
2017,OUDSD,Oudeschild
2018,OUDSD,Oudeschild
2019,OUDSD,Oudeschild
2020,OUDSD,Oudeschild
2021,OUDSD,Oudeschild
2022,OUDSD,Oudeschild
2023,OUDSD,Oudeschild
2024,RPSL,Roompotsluis (SVKO)
2024,SCHE,Scheveningen
1900,SCHEVNGN,Scheveningen
1901,SCHEVNGN,Scheveningen
1902,SCHEVNGN,Scheveningen
1903,SCHEVNGN,Scheveningen
1904,SCHEVNGN,Scheveningen
1905,SCHEVNGN,Scheveningen
1924,SCHEVNGN,Scheveningen
1925,SCHEVNGN,Scheveningen
1926,SCHEVNGN,Scheveningen
1927,SCHEVNGN,Scheveningen
1928,SCHEVNGN,Scheveningen
1929,SCHEVNGN,Scheveningen
1930,SCHEVNGN,Scheveningen
1953,SCHEVNGN,Scheveningen
1954,SCHEVNGN,Scheveningen
1961,SCHEVNGN,Scheveningen
1962,SCHEVNGN,Scheveningen
1963,SCHEVNGN,Scheveningen
1964,SCHEVNGN,Scheveningen
1965,SCHEVNGN,Scheveningen
1966,SCHEVNGN,Scheveningen
1967,SCHEVNGN,Scheveningen
1968,SCHEVNGN,Scheveningen
1969,SCHEVNGN,Scheveningen
1970,SCHEVNGN,Scheveningen
1971,SCHEVNGN,Scheveningen
1972,SCHEVNGN,Scheveningen
1973,SCHEVNGN,Scheveningen
1974,SCHEVNGN,Scheveningen
1975,SCHEVNGN,Scheveningen
1976,SCHEVNGN,Scheveningen
1977,SCHEVNGN,Scheveningen
1978,SCHEVNGN,Scheveningen
1979,SCHEVNGN,Scheveningen
1980,SCHEVNGN,Scheveningen
1981,SCHEVNGN,Scheveningen
1982,SCHEVNGN,Scheveningen
1983,SCHEVNGN,Scheveningen
1984,SCHEVNGN,Scheveningen
1985,SCHEVNGN,Scheveningen
1986,SCHEVNGN,Scheveningen
1987,SCHEVNGN,Scheveningen
1988,SCHEVNGN,Scheveningen
1989,SCHEVNGN,Scheveningen
1990,SCHEVNGN,Scheveningen
1991,SCHEVNGN,Scheveningen
1992,SCHEVNGN,Scheveningen
1993,SCHEVNGN,Scheveningen
1994,SCHEVNGN,Scheveningen
1995,SCHEVNGN,Scheveningen
1996,SCHEVNGN,Scheveningen
1997,SCHEVNGN,Scheveningen
1998,SCHEVNGN,Scheveningen
1999,SCHEVNGN,Scheveningen
2000,SCHEVNGN,Scheveningen
2001,SCHEVNGN,Scheveningen
2002,SCHEVNGN,Scheveningen
2003,SCHEVNGN,Scheveningen
2004,SCHEVNGN,Scheveningen
2005,SCHEVNGN,Scheveningen
2006,SCHEVNGN,Scheveningen
2007,SCHEVNGN,Scheveningen
2008,SCHEVNGN,Scheveningen
2009,SCHEVNGN,Scheveningen
2010,SCHEVNGN,Scheveningen
2011,SCHEVNGN,Scheveningen
2012,SCHEVNGN,Scheveningen
2013,SCHEVNGN,Scheveningen
2014,SCHEVNGN,Scheveningen
2015,SCHEVNGN,Scheveningen
2016,SCHEVNGN,Scheveningen
2017,SCHEVNGN,Scheveningen
2018,SCHEVNGN,Scheveningen
2019,SCHEVNGN,Scheveningen
2020,SCHEVNGN,Scheveningen
2021,SCHEVNGN,Scheveningen
2022,SCHEVNGN,Scheveningen
2023,SCHEVNGN,Scheveningen
2024,SCHI,Schiermonnikoog
1965,SCHIERMNOG,Schiermonnikoog
1966,SCHIERMNOG,Schiermonnikoog
1967,SCHIERMNOG,Schiermonnikoog
1968,SCHIERMNOG,Schiermonnikoog
1969,SCHIERMNOG,Schiermonnikoog
1970,SCHIERMNOG,Schiermonnikoog
1971,SCHIERMNOG,Schiermonnikoog
1972,SCHIERMNOG,Schiermonnikoog
1973,SCHIERMNOG,Schiermonnikoog
1974,SCHIERMNOG,Schiermonnikoog
1975,SCHIERMNOG,Schiermonnikoog
1976,SCHIERMNOG,Schiermonnikoog
1977,SCHIERMNOG,Schiermonnikoog
1978,SCHIERMNOG,Schiermonnikoog
1979,SCHIERMNOG,Schiermonnikoog
1980,SCHIERMNOG,Schiermonnikoog
1981,SCHIERMNOG,Schiermonnikoog
1982,SCHIERMNOG,Schiermonnikoog
1983,SCHIERMNOG,Schiermonnikoog
1984,SCHIERMNOG,Schiermonnikoog
1985,SCHIERMNOG,Schiermonnikoog
1986,SCHIERMNOG,Schiermonnikoog
1987,SCHIERMNOG,Schiermonnikoog
1988,SCHIERMNOG,Schiermonnikoog
1989,SCHIERMNOG,Schiermonnikoog
1990,SCHIERMNOG,Schiermonnikoog
1991,SCHIERMNOG,Schiermonnikoog
1992,SCHIERMNOG,Schiermonnikoog
1993,SCHIERMNOG,Schiermonnikoog
1994,SCHIERMNOG,Schiermonnikoog
1995,SCHIERMNOG,Schiermonnikoog
1996,SCHIERMNOG,Schiermonnikoog
1997,SCHIERMNOG,Schiermonnikoog
1998,SCHIERMNOG,Schiermonnikoog
1999,SCHIERMNOG,Schiermonnikoog
2000,SCHIERMNOG,Schiermonnikoog
2001,SCHIERMNOG,Schiermonnikoog
2002,SCHIERMNOG,Schiermonnikoog
2003,SCHIERMNOG,Schiermonnikoog
2004,SCHIERMNOG,Schiermonnikoog
2005,SCHIERMNOG,Schiermonnikoog
2006,SCHIERMNOG,Schiermonnikoog
2007,SCHIERMNOG,Schiermonnikoog
2008,SCHIERMNOG,Schiermonnikoog
2009,SCHIERMNOG,Schiermonnikoog
2010,SCHIERMNOG,Schiermonnikoog
2011,SCHIERMNOG,Schiermonnikoog
2012,SCHIERMNOG,Schiermonnikoog
2013,SCHIERMNOG,Schiermonnikoog
2014,SCHIERMNOG,Schiermonnikoog
2015,SCHIERMNOG,Schiermonnikoog
2016,SCHIERMNOG,Schiermonnikoog
2017,SCHIERMNOG,Schiermonnikoog
2018,SCHIERMNOG,Schiermonnikoog
2019,SCHIERMNOG,Schiermonnikoog
2020,SCHIERMNOG,Schiermonnikoog
2021,SCHIERMNOG,Schiermonnikoog
2022,SCHIERMNOG,Schiermonnikoog
2023,SCHIERMNOG,Schiermonnikoog
2024,SPE,Stroommeetpaal Eemshaven
2024,STEL,Stellendam buiten
1984,STELLDBTN,Stellendam buiten
1985,STELLDBTN,Stellendam buiten
1986,STELLDBTN,Stellendam buiten
1987,STELLDBTN,Stellendam buiten
1988,STELLDBTN,Stellendam buiten
1989,STELLDBTN,Stellendam buiten
1990,STELLDBTN,Stellendam buiten
1991,STELLDBTN,Stellendam buiten
1992,STELLDBTN,Stellendam buiten
1993,STELLDBTN,Stellendam buiten
1994,STELLDBTN,Stellendam buiten
1995,STELLDBTN,Stellendam buiten
1996,STELLDBTN,Stellendam buiten
1997,STELLDBTN,Stellendam buiten
1998,STELLDBTN,Stellendam buiten
1999,STELLDBTN,Stellendam buiten
2000,STELLDBTN,Stellendam buiten
2001,STELLDBTN,Stellendam buiten
2002,STELLDBTN,Stellendam buiten
2003,STELLDBTN,Stellendam buiten
2004,STELLDBTN,Stellendam buiten
2005,STELLDBTN,Stellendam buiten
2006,STELLDBTN,Stellendam buiten
2007,STELLDBTN,Stellendam buiten
2008,STELLDBTN,Stellendam buiten
2009,STELLDBTN,Stellendam buiten
2010,STELLDBTN,Stellendam buiten
2011,STELLDBTN,Stellendam buiten
2012,STELLDBTN,Stellendam buiten
2013,STELLDBTN,Stellendam buiten
2014,STELLDBTN,Stellendam buiten
2015,STELLDBTN,Stellendam buiten
2016,STELLDBTN,Stellendam buiten
2017,STELLDBTN,Stellendam buiten
2018,STELLDBTN,Stellendam buiten
2019,STELLDBTN,Stellendam buiten
2020,STELLDBTN,Stellendam buiten
2021,STELLDBTN,Stellendam buiten
2022,STELLDBTN,Stellendam buiten
2023,STELLDBTN,Stellendam buiten
2024,TERM,Termunterzijl
2024,TERS,Terschelling Noordzee
1989,TERSLNZE,Terschelling Noordzee
1990,TERSLNZE,Terschelling Noordzee
1991,TERSLNZE,Terschelling Noordzee
1992,TERSLNZE,Terschelling Noordzee
1993,TERSLNZE,Terschelling Noordzee
1994,TERSLNZE,Terschelling Noordzee
1995,TERSLNZE,Terschelling Noordzee
1996,TERSLNZE,Terschelling Noordzee
1997,TERSLNZE,Terschelling Noordzee
1998,TERSLNZE,Terschelling Noordzee
1999,TERSLNZE,Terschelling Noordzee
2000,TERSLNZE,Terschelling Noordzee
2001,TERSLNZE,Terschelling Noordzee
2002,TERSLNZE,Terschelling Noordzee
2003,TERSLNZE,Terschelling Noordzee
2004,TERSLNZE,Terschelling Noordzee
2005,TERSLNZE,Terschelling Noordzee
2006,TERSLNZE,Terschelling Noordzee
2007,TERSLNZE,Terschelling Noordzee
2008,TERSLNZE,Terschelling Noordzee
2009,TERSLNZE,Terschelling Noordzee
2010,TERSLNZE,Terschelling Noordzee
2011,TERSLNZE,Terschelling Noordzee
2012,TERSLNZE,Terschelling Noordzee
2013,TERSLNZE,Terschelling Noordzee
2014,TERSLNZE,Terschelling Noordzee
2015,TERSLNZE,Terschelling Noordzee
2016,TERSLNZE,Terschelling Noordzee
2017,TERSLNZE,Terschelling Noordzee
2018,TERSLNZE,Terschelling Noordzee
2019,TERSLNZE,Terschelling Noordzee
2020,TERSLNZE,Terschelling Noordzee
2021,TERSLNZE,Terschelling Noordzee
2022,TERSLNZE,Terschelling Noordzee
2023,TERSLNZE,Terschelling Noordzee
2024,TEXE,Texel Noordzee
1989,TEXNZE,Texel Noordzee
1990,TEXNZE,Texel Noordzee
1991,TEXNZE,Texel Noordzee
1992,TEXNZE,Texel Noordzee
1993,TEXNZE,Texel Noordzee
1994,TEXNZE,Texel Noordzee
1995,TEXNZE,Texel Noordzee
1996,TEXNZE,Texel Noordzee
1997,TEXNZE,Texel Noordzee
1998,TEXNZE,Texel Noordzee
1999,TEXNZE,Texel Noordzee
2000,TEXNZE,Texel Noordzee
2001,TEXNZE,Texel Noordzee
2002,TEXNZE,Texel Noordzee
2003,TEXNZE,Texel Noordzee
2004,TEXNZE,Texel Noordzee
