# generated with r-analyse/gtsm/add-gtsm.R
# contains gtsm surge output per year
"...1","t","name","ddl_id","surge"
"91",120,1967-01-01,"Den Helder","DENHDR",0.0982561341167925
"92",127,1968-01-01,"Den Helder","DENHDR",0.0371198983343898
"93",134,1969-01-01,"Den Helder","DENHDR",0.0219146286099129
"94",141,1970-01-01,"Den Helder","DENHDR",0.0616739665247398
"95",148,1971-01-01,"Den Helder","DENHDR",0.0242774301680596
"96",155,1972-01-01,"Den Helder","DENHDR",0.00144414123799142
"97",162,1973-01-01,"Den Helder","DENHDR",0.063246781435119
"98",169,1974-01-01,"Den Helder","DENHDR",0.0851467605590922
"99",176,1975-01-01,"Den Helder","DENHDR",0.0280325805411151
"100",183,1976-01-01,"Den Helder","DENHDR",0.0116749945162831
"101",190,1977-01-01,"Den Helder","DENHDR",0.0671407066438704
"102",197,1978-01-01,"Den Helder","DENHDR",0.0467578226266658
"103",204,1979-01-01,"Den Helder","DENHDR",0.0454980665150685
"104",211,1980-01-01,"Den Helder","DENHDR",0.036378093636612
"105",218,1981-01-01,"Den Helder","DENHDR",0.0709832438
"106",225,1982-01-01,"Den Helder","DENHDR",0.0485073895561644
"107",232,1983-01-01,"Den Helder","DENHDR",0.0835952323589041
"108",239,1984-01-01,"Den Helder","DENHDR",0.0339730456240437
"109",246,1985-01-01,"Den Helder","DENHDR",0.0398411026958904
"110",253,1986-01-01,"Den Helder","DENHDR",0.0475588782391781
"111",260,1987-01-01,"Den Helder","DENHDR",0.0158346517178082
"112",267,1988-01-01,"Den Helder","DENHDR",0.0768664715846994
"113",274,1989-01-01,"Den Helder","DENHDR",0.0557692512410959
"114",281,1990-01-01,"Den Helder","DENHDR",0.104861954030137
"115",288,1991-01-01,"Den Helder","DENHDR",0.025560253176274
"116",295,1992-01-01,"Den Helder","DENHDR",0.0509649873907104
"117",302,1993-01-01,"Den Helder","DENHDR",0.0356112343342466
"118",309,1994-01-01,"Den Helder","DENHDR",0.0732893133772603
"119",316,1995-01-01,"Den Helder","DENHDR",0.0508582974054795
"120",323,1996-01-01,"Den Helder","DENHDR",-0.0306565198887978
"121",330,1997-01-01,"Den Helder","DENHDR",0.0140847953068493
"122",337,1998-01-01,"Den Helder","DENHDR",0.0877760237068493
"123",344,1999-01-01,"Den Helder","DENHDR",0.0812100144575343
