station,modeltype,term,estimate,std.error,statistic,p.value,st.err.HAC
Netherlands,broken_squared,Constant,-31.987,3.226,-9.915,0,3.121
Netherlands,broken_squared,Trend,1.744,0.077,22.722,0,0.089
Netherlands,broken_squared,+ square_trend 1960,0.01,0.003,3.695,0,0.003
Netherlands,broken_squared,u_nodal,4.212,2.603,1.618,0.108,2.804
Netherlands,broken_squared,v_nodal,-11.141,2.554,-4.363,0,2.869
Netherlands (without Delfzijl),linear,Constant,-31.544,1.939,-16.265,0,2.013
Netherlands (without Delfzijl),linear,Trend,1.977,0.047,41.647,0,0.054
Netherlands (without Delfzijl),linear,u_nodal,4.345,2.623,1.656,0.1,2.833
Netherlands (without Delfzijl),linear,v_nodal,-11.632,2.563,-4.539,0,2.959
Netherlands (without Delfzijl),broken_linear,Constant,-37.353,2.459,-15.192,0,2.303
Netherlands (without Delfzijl),broken_linear,Trend,1.831,0.061,30.079,0,0.07
Netherlands (without Delfzijl),broken_linear,+ trend 1993,1.113,0.309,3.602,0,0.265
Netherlands (without Delfzijl),broken_linear,u_nodal,4.698,2.512,1.87,0.064,2.683
Netherlands (without Delfzijl),broken_linear,v_nodal,-10.641,2.468,-4.312,0,2.821
Netherlands (without Delfzijl),broken_squared,Constant,-39.736,3.139,-12.658,0,3.125
Netherlands (without Delfzijl),broken_squared,Trend,1.785,0.075,23.909,0,0.088
Netherlands (without Delfzijl),broken_squared,+ square_trend 1960,0.009,0.003,3.251,0.001,0.003
Netherlands (without Delfzijl),broken_squared,u_nodal,4.528,2.533,1.788,0.076,2.718
Netherlands (without Delfzijl),broken_squared,v_nodal,-10.867,2.485,-4.374,0,2.845
