year,height,station,surge_anomaly,from1993,from1960_square
1953,-85,IJmuiden,-32.45460622862094,-0,0
1954,-63,IJmuiden,21.830273058497063,-0,0
1955,-38,IJmuiden,3.8951395576303653,-0,0
1956,-95,IJmuiden,-17.25885631289164,-0,0
1957,-65,IJmuiden,-3.2643064079047406,-0,0
1958,-64,IJmuiden,3.7360026717256645,-0,0
1959,-91,IJmuiden,-44.01685875682095,-0,0
1960,-42,IJmuiden,-3.3528363784233406,-0,0
1961,3,IJmuiden,20.63749550311217,-0,1
1962,-47,IJmuiden,4.123361172615759,-0,4
1963,-86,IJmuiden,-30.02111752786524,-0,9
1964,-74,IJmuiden,-35.09737468860574,-0,16
1965,-35,IJmuiden,26.42619371126046,-0,25
1966,7,IJmuiden,19.519770126204854,-0,36
1967,16,IJmuiden,43.863665030505665,-0,49
1968,-52,IJmuiden,-9.41132492341604,-0,64
1969,-67,IJmuiden,-21.854251356589337,-0,81
1970,-43,IJmuiden,14.574972913870361,-0,100
1971,-84,IJmuiden,-24.55752602568954,-0,121
1972,-117,IJmuiden,-45.33234001688555,-0,144
1973,-51,IJmuiden,12.707405469675663,-0,169
1974,-42,IJmuiden,36.75093906350016,-0,196
1975,-86,IJmuiden,-21.83292310768924,-0,225
1976,-109,IJmuiden,-35.460460021029036,-0,256
1977,-58,IJmuiden,18.206315846043957,-0,289
1978,-28,IJmuiden,-0.3908507488393411,-0,324
1979,-38,IJmuiden,-3.343537710310436,-0,361
1980,5,IJmuiden,-10.58899757568954,-0,400
1981,2,IJmuiden,21.830618330785462,-0,441
1982,-13,IJmuiden,-4.466487518529632,-0,484
1983,26,IJmuiden,30.13805751708687,-0,529
1984,-28,IJmuiden,-14.147636828421838,-0,576
1985,-30,IJmuiden,-10.784544178803536,-0,625
1986,-34,IJmuiden,-3.2683997064748382,-0,676
1987,-34,IJmuiden,-32.03799545414604,-0,729
1988,30,IJmuiden,25.763209156550865,-0,784
1989,5,IJmuiden,2.613244267771762,-0,841
1990,33,IJmuiden,48.60499976640197,-0,900
1991,-62,IJmuiden,-25.62309584181724,-0,961
1992,-15,IJmuiden,-0.0629515210447451,-0,1024
1993,-21,IJmuiden,-12.612782012228237,0,1089
1994,21,IJmuiden,22.53662672530607,1,1156
1995,22,IJmuiden,1.6466993025662617,2,1225
1996,-79,IJmuiden,-74.11790514620864,3,1296
1997,-25,IJmuiden,-36.625415433598135,4,1369
1998,57,IJmuiden,36.57124507325127,5,1444
1999,49,IJmuiden,29.450685308867655,6,1521
2000,46,IJmuiden,21.03163324398256,7,1600
2001,53,IJmuiden,8.260776224593656,8,1681
2002,42,IJmuiden,-19.55993394263914,9,1764
2003,33,IJmuiden,-35.540033695943336,10,1849
2004,52,IJmuiden,11.425236977042658,11,1936
2005,36,IJmuiden,-6.276093419899439,12,2025
2006,35,IJmuiden,-1.4424808445570392,13,2116
2007,83,IJmuiden,23.30789802941566,14,2209
2008,55,IJmuiden,17.537469279501657,15,2304
2009,14,IJmuiden,-8.794860913050137,16,2401
2010,2,IJmuiden,-24.82002634510494,17,2500
2011,33,IJmuiden,6.4517833828402615,18,2601
2012,27,IJmuiden,-2.369123818858938,19,2704
2013,3,IJmuiden,-28.43118884811864,20,2809
2014,50,IJmuiden,-3.1698208363378413,21,2916
2015,64,IJmuiden,15.55791916037456,22,3025
2016,57,IJmuiden,-22.54909179590814,23,3136
2017,87,IJmuiden,17.05292274284026,24,3249
2018,19,IJmuiden,-42.235205085652886,25,3364
2019,60,IJmuiden,6.79319862667586,26,3481
2020,66,IJmuiden,7.053298678408758,27,3600
2021,46,IJmuiden,-16.34569173222824,28,3721
2022,69,IJmuiden,-11.680959380140536,29,3844
2023,222,Delfzijl,36.05931649640497,30,3969
2023,121,Den Helder,27.865365631038266,30,3969
2023,203,Harlingen,47.75017544185966,30,3969
2023,194,Hoek van Holland,13.838693167786559,30,3969
2023,125,IJmuiden,25.839367242174767,30,3969
2023,116,Vlissingen,4.10449021450146,30,3969
1890,-194.66666666666666,Netherlands,0,-0,0
1891,-179,Netherlands,0,-0,0
1892,-166.5,Netherlands,0,-0,0
1893,-142.16666666666666,Netherlands,0,-0,0
1894,-141.83333333333334,Netherlands,0,-0,0
1895,-173,Netherlands,0,-0,0
1896,-185,Netherlands,0,-0,0
1897,-179.33333333333334,Netherlands,0,-0,0
1898,-138.33333333333334,Netherlands,0,-0,0
1899,-141,Netherlands,0,-0,0
1900,-176.5,Netherlands,0,-0,0
1901,-196.83333333333334,Netherlands,0,-0,0
1902,-225.16666666666666,Netherlands,0,-0,0
1903,-113.83333333333333,Netherlands,0,-0,0
1904,-151.83333333333334,Netherlands,0,-0,0
1905,-176.66666666666666,Netherlands,0,-0,0
1906,-139.83333333333334,Netherlands,0,-0,0
1907,-162.66666666666666,Netherlands,0,-0,0
1908,-169.83333333333334,Netherlands,0,-0,0
1909,-119.5,Netherlands,0,-0,0
1910,-110.33333333333333,Netherlands,0,-0,0
1911,-132.33333333333334,Netherlands,0,-0,0
1912,-70.16666666666667,Netherlands,0,-0,0
1913,-98.83333333333333,Netherlands,0,-0,0
1914,-86.5,Netherlands,0,-0,0
1915,-124.33333333333333,Netherlands,0,-0,0
1916,-73.33333333333333,Netherlands,0,-0,0
1917,-127.83333333333333,Netherlands,0,-0,0
1918,-131.5,Netherlands,0,-0,0
1919,-153.66666666666666,Netherlands,0,-0,0
1920,-149.16666666666666,Netherlands,0,-0,0
1921,-119.33333333333333,Netherlands,0,-0,0
1922,-126.33333333333333,Netherlands,0,-0,0
1923,-104,Netherlands,0,-0,0
1924,-130,Netherlands,0,-0,0
1925,-75.16666666666667,Netherlands,0,-0,0
1926,-93,Netherlands,0,-0,0
1927,-92.16666666666667,Netherlands,0,-0,0
1928,-79.33333333333333,Netherlands,0,-0,0
1929,-131.83333333333334,Netherlands,0,-0,0
1930,-83.33333333333333,Netherlands,0,-0,0
1931,-74.83333333333333,Netherlands,0,-0,0
1932,-90,Netherlands,0,-0,0
1933,-135.66666666666666,Netherlands,0,-0,0
1934,-121,Netherlands,0,-0,0
1935,-73.66666666666667,Netherlands,0,-0,0
1936,-59.333333333333336,Netherlands,0,-0,0
1937,-74.83333333333333,Netherlands,0,-0,0
1938,-61.166666666666664,Netherlands,0,-0,0
1939,-96.83333333333333,Netherlands,0,-0,0
1940,-89.5,Netherlands,0,-0,0
1941,-125,Netherlands,0,-0,0
1942,-109.5,Netherlands,0,-0,0
1943,-59.333333333333336,Netherlands,0,-0,0
1944,-49.333333333333336,Netherlands,0,-0,0
1945,-57.666666666666664,Netherlands,0,-0,0
1946,-68.5,Netherlands,0,-0,0
1947,-129.16666666666666,Netherlands,0,-0,0
1948,-56,Netherlands,0,-0,0
1949,-42.166666666666664,Netherlands,0,-0,0
1950,-43.166666666666664,Netherlands,19.34148160154916,-0,0
1951,-58.5,Netherlands,2.94268535502176,-0,0
1952,-34.166666666666664,Netherlands,11.09664399944126,-0,0
1953,-73.16666666666667,Netherlands,-28.753996560237017,-0,0
1954,-45.5,Netherlands,23.24812348109126,-0,0
1955,-36.333333333333336,Netherlands,7.0266940420785104,-0,0
1956,-93.83333333333333,Netherlands,-14.056893277944006,-0,0
1957,-60.833333333333336,Netherlands,-0.7113674935912412,-0,0
1958,-50.666666666666664,Netherlands,3.320930815933162,-0,0
1959,-93.16666666666667,Netherlands,-42.17963038327099,-0,0
1960,-54.833333333333336,Netherlands,-7.086321624445156,-0,0
1961,12.833333333333334,Netherlands,22.017999123239527,-0,1
1962,-39.666666666666664,Netherlands,7.73230816831881,-0,4
1963,-97,Netherlands,-28.871001675414213,-0,9
1964,-76.5,Netherlands,-31.56446935311493,-0,16
1965,-21.833333333333332,Netherlands,26.28511637311566,-0,25
1966,7.666666666666667,Netherlands,17.049464248960476,-0,36
1967,35.166666666666664,Netherlands,46.37411863928464,-0,49
1968,-29.333333333333332,Netherlands,-9.253990222058206,-0,64
1969,-43,Netherlands,-23.205847332124524,-0,81
1970,-9.833333333333334,Netherlands,14.806542095157129,-0,100
1971,-60.166666666666664,Netherlands,-21.293153701484222,-0,121
1972,-88.33333333333333,Netherlands,-44.84718622294468,-0,144
1973,-20.5,Netherlands,17.464770932105427,-0,169
1974,-16.666666666666668,Netherlands,35.772586170590124,-0,196
1975,-52,Netherlands,-18.706733448990306,-0,225
1976,-75.5,Netherlands,-32.9909723891949,-0,256
1977,-24.166666666666668,Netherlands,18.32411275625836,-0,289
1978,-31.833333333333332,Netherlands,-0.32145443409658964,-0,324
1979,-22.333333333333332,Netherlands,-4.894621119397155,-0,361
1980,5,Netherlands,-9.391083089168623,-0,400
1981,39,Netherlands,24.323858351105095,-0,441
1982,15.333333333333334,Netherlands,-1.9849045251962554,-0,484
1983,52.833333333333336,Netherlands,34.69344779288586,-0,529
1984,-9.5,Netherlands,-12.519026332939122,-0,576
1985,-6.5,Netherlands,-7.700682075196272,-0,625
1986,-13,Netherlands,-0.5555120978903391,-0,676
1987,-20.5,Netherlands,-30.74594217309581,-0,729
1988,55.833333333333336,Netherlands,27.598898680539897,-0,784
1989,17.833333333333332,Netherlands,7.027780628045742,-0,841
1990,54.333333333333336,Netherlands,53.4781056181827,-0,900
1991,-48,Netherlands,-20.48976426440173,-0,961
1992,-2.6666666666666665,Netherlands,2.386387343572744,-0,1024
1993,-5.166666666666667,Netherlands,-9.994804284164289,0,1089
1994,35.333333333333336,Netherlands,23.939849517086863,1,1156
1995,39.833333333333336,Netherlands,4.931170235214711,2,1225
1996,-74,Netherlands,-72.88043549257023,3,1296
1997,-16.666666666666668,Netherlands,-32.610496519305855,4,1369
1998,64.33333333333333,Netherlands,36.95181539311416,5,1444
1999,58.666666666666664,Netherlands,30.753964024073227,6,1521
2000,54,Netherlands,21.705315020394227,7,1600
2001,61,Netherlands,8.22030144072611,8,1681
2002,46.166666666666664,Netherlands,-18.679531309890322,9,1764
2003,32,Netherlands,-31.233814490381658,10,1849
2004,62.833333333333336,Netherlands,13.443541057325012,11,1936
2005,45,Netherlands,-3.7144897276346214,12,2025
2006,41.333333333333336,Netherlands,1.0797788974521279,13,2116
2007,94.83333333333333,Netherlands,27.404534583479546,14,2209
2008,66.33333333333333,Netherlands,19.857743150927014,15,2304
2009,33.666666666666664,Netherlands,-7.8862864583012895,16,2401
2010,25.333333333333332,Netherlands,-24.744397919625488,17,2500
2011,60.166666666666664,Netherlands,10.353675169210126,18,2601
2012,50.666666666666664,Netherlands,0.0102707468058784,19,2704
2013,25.666666666666668,Netherlands,-26.291725752410873,20,2809
2014,66.66666666666667,Netherlands,-2.663069692808141,21,2916
2015,92.5,Netherlands,21.225324723844846,22,3025
2016,77,Netherlands,-21.01963566143639,23,3136
2017,112.16666666666667,Netherlands,20.749215569506944,24,3249
2018,39.333333333333336,Netherlands,-40.15039214729672,25,3364
2019,109.16666666666667,Netherlands,8.42950571987224,26,3481
2020,114.66666666666667,Netherlands,9.072518224201128,27,3600
2021,93.5,Netherlands,-14.580753823552438,28,3721
2022,106.33333333333333,Netherlands,-7.775760646431254,29,3844
2023,163.5,Netherlands,25.90956803229428,30,3969
1890,-203.4,Netherlands (without Delfzijl),0,-0,0
1891,-189.4,Netherlands (without Delfzijl),0,-0,0
1892,-174.4,Netherlands (without Delfzijl),0,-0,0
1893,-154,Netherlands (without Delfzijl),0,-0,0
1894,-147,Netherlands (without Delfzijl),0,-0,0
1895,-182,Netherlands (without Delfzijl),0,-0,0
1896,-197.6,Netherlands (without Delfzijl),0,-0,0
1897,-190.8,Netherlands (without Delfzijl),0,-0,0
1898,-153,Netherlands (without Delfzijl),0,-0,0
1899,-151,Netherlands (without Delfzijl),0,-0,0
1900,-189.4,Netherlands (without Delfzijl),0,-0,0
1901,-210.2,Netherlands (without Delfzijl),0,-0,0
1902,-238,Netherlands (without Delfzijl),0,-0,0
1903,-129.4,Netherlands (without Delfzijl),0,-0,0
1904,-155.4,Netherlands (without Delfzijl),0,-0,0
1905,-172.8,Netherlands (without Delfzijl),0,-0,0
1906,-144.8,Netherlands (without Delfzijl),0,-0,0
1907,-169.2,Netherlands (without Delfzijl),0,-0,0
1908,-179.2,Netherlands (without Delfzijl),0,-0,0
1909,-128.2,Netherlands (without Delfzijl),0,-0,0
1910,-119.2,Netherlands (without Delfzijl),0,-0,0
1911,-148,Netherlands (without Delfzijl),0,-0,0
1912,-87,Netherlands (without Delfzijl),0,-0,0
1913,-109.6,Netherlands (without Delfzijl),0,-0,0
1914,-95.8,Netherlands (without Delfzijl),0,-0,0
1915,-133.2,Netherlands (without Delfzijl),0,-0,0
1916,-86.2,Netherlands (without Delfzijl),0,-0,0
1917,-138.8,Netherlands (without Delfzijl),0,-0,0
1918,-140.4,Netherlands (without Delfzijl),0,-0,0
1919,-162,Netherlands (without Delfzijl),0,-0,0
1920,-162,Netherlands (without Delfzijl),0,-0,0
1921,-139.8,Netherlands (without Delfzijl),0,-0,0
1922,-136.4,Netherlands (without Delfzijl),0,-0,0
1923,-114.4,Netherlands (without Delfzijl),0,-0,0
1924,-138.6,Netherlands (without Delfzijl),0,-0,0
1925,-89.2,Netherlands (without Delfzijl),0,-0,0
1926,-108.2,Netherlands (without Delfzijl),0,-0,0
1927,-102,Netherlands (without Delfzijl),0,-0,0
1928,-89.2,Netherlands (without Delfzijl),0,-0,0
1929,-144.4,Netherlands (without Delfzijl),0,-0,0
1930,-90.6,Netherlands (without Delfzijl),0,-0,0
1931,-86.4,Netherlands (without Delfzijl),0,-0,0
1932,-101.2,Netherlands (without Delfzijl),0,-0,0
1933,-147,Netherlands (without Delfzijl),0,-0,0
1934,-133.8,Netherlands (without Delfzijl),0,-0,0
1935,-85.6,Netherlands (without Delfzijl),0,-0,0
1936,-68.2,Netherlands (without Delfzijl),0,-0,0
1937,-79.4,Netherlands (without Delfzijl),0,-0,0
1938,-72.4,Netherlands (without Delfzijl),0,-0,0
1939,-102.6,Netherlands (without Delfzijl),0,-0,0
1940,-98,Netherlands (without Delfzijl),0,-0,0
1941,-130.2,Netherlands (without Delfzijl),0,-0,0
1942,-115.8,Netherlands (without Delfzijl),0,-0,0
1943,-69.2,Netherlands (without Delfzijl),0,-0,0
1944,-63.4,Netherlands (without Delfzijl),0,-0,0
1945,-73.6,Netherlands (without Delfzijl),0,-0,0
1946,-81.2,Netherlands (without Delfzijl),0,-0,0
1947,-133.8,Netherlands (without Delfzijl),0,-0,0
1948,-65.2,Netherlands (without Delfzijl),0,-0,0
1949,-53.2,Netherlands (without Delfzijl),0,-0,0
1950,-47.6,Netherlands (without Delfzijl),17.61818220627318,-0,0
1951,-60.8,Netherlands (without Delfzijl),1.9901151053677792,-0,0
1952,-41.4,Netherlands (without Delfzijl),9.182983902216101,-0,0
1953,-82.4,Netherlands (without Delfzijl),-31.907137221753672,-0,0
1954,-50.8,Netherlands (without Delfzijl),21.01750954882472,-0,0
1955,-44.4,Netherlands (without Delfzijl),4.076088307580422,-0,0
1956,-104.6,Netherlands (without Delfzijl),-16.951387827555138,-0,0
1957,-69,Netherlands (without Delfzijl),-3.2354349578673407,-0,0
1958,-54.8,Netherlands (without Delfzijl),2.759439649738482,-0,0
1959,-99.2,Netherlands (without Delfzijl),-43.80088121267736,-0,0
1960,-62.8,Netherlands (without Delfzijl),-5.53326130927684,-0,0
1961,-1.8,Netherlands (without Delfzijl),19.86557125655032,-0,1
1962,-50.8,Netherlands (without Delfzijl),4.02614700967882,-0,4
1963,-110.6,Netherlands (without Delfzijl),-30.20014970358715,-0,9
1964,-89,Netherlands (without Delfzijl),-34.471631441351384,-0,16
1965,-26.2,Netherlands (without Delfzijl),25.05274650390924,-0,25
1966,3.2,Netherlands (without Delfzijl),17.2831584780356,-0,36
1967,21.6,Netherlands (without Delfzijl),42.48281651156287,-0,49
1968,-42.6,Netherlands (without Delfzijl),-10.060210677307317,-0,64
1969,-54,Netherlands (without Delfzijl),-22.95394338853462,-0,81
1970,-24.2,Netherlands (without Delfzijl),13.406595910971463,-0,100
1971,-77.4,Netherlands (without Delfzijl),-24.19094554347442,-0,121
1972,-94.6,Netherlands (without Delfzijl),-45.521875266968735,-0,144
1973,-31.6,Netherlands (without Delfzijl),12.664422346587138,-0,169
1974,-27,Netherlands (without Delfzijl),34.9681105248343,-0,196
1975,-63.8,Netherlands (without Delfzijl),-21.487590426985438,-0,225
1976,-86.2,Netherlands (without Delfzijl),-35.365105909201716,-0,256
1977,-32,Netherlands (without Delfzijl),17.081544749836162,-0,289
1978,-41.2,Netherlands (without Delfzijl),-1.6684109123838198,-0,324
1979,-27,Netherlands (without Delfzijl),-4.716793444502178,-0,361
1980,-3,Netherlands (without Delfzijl),-11.22110642410488,-0,400
1981,25.4,Netherlands (without Delfzijl),21.14911348393614,-0,441
1982,2.6,Netherlands (without Delfzijl),-4.79811813989946,-0,484
1983,37.8,Netherlands (without Delfzijl),30.04072102557995,-0,529
1984,-17.6,Netherlands (without Delfzijl),-14.278571547230559,-0,576
1985,-17.2,Netherlands (without Delfzijl),-10.66268026740632,-0,625
1986,-19.4,Netherlands (without Delfzijl),-3.4039465288309794,-0,676
1987,-29.2,Netherlands (without Delfzijl),-32.35713457195426,-0,729
1988,44.8,Netherlands (without Delfzijl),25.006051457468846,-0,784
1989,6.4,Netherlands (without Delfzijl),2.9933827691416397,-0,841
1990,40.4,Netherlands (without Delfzijl),48.27438575840195,-0,900
1991,-59.4,Netherlands (without Delfzijl),-24.831195514946028,-0,961
1992,-14.6,Netherlands (without Delfzijl),-0.6472419694053997,-0,1024
1993,-17,Netherlands (without Delfzijl),-12.801946666441918,0,1089
1994,23.8,Netherlands (without Delfzijl),21.380008637086863,1,1156
1995,26.6,Netherlands (without Delfzijl),1.765508901415619,2,1225
1996,-81.4,Netherlands (without Delfzijl),-73.52154080545456,3,1296
1997,-27.8,Netherlands (without Delfzijl),-36.01021638795426,4,1369
1998,51,Netherlands (without Delfzijl),34.76716160722374,5,1444
1999,45.8,Netherlands (without Delfzijl),28.30900233834722,6,1521
2000,41.4,Netherlands (without Delfzijl),19.650099970212082,7,1600
2001,48,Netherlands (without Delfzijl),6.918743417875881,8,1681
2002,34.2,Netherlands (without Delfzijl),-19.9931873878337,9,1764
2003,21.2,Netherlands (without Delfzijl),-34.58236059927262,10,1849
2004,52.2,Netherlands (without Delfzijl),10.625332327643779,11,1936
2005,37.8,Netherlands (without Delfzijl),-6.475320773291239,12,2025
2006,33.6,Netherlands (without Delfzijl),-1.6414413760638589,13,2116
2007,82.8,Netherlands (without Delfzijl),23.26809607073068,14,2209
2008,56.2,Netherlands (without Delfzijl),16.77182837767108,15,2304
2009,24.2,Netherlands (without Delfzijl),-9.3535321344748,16,2401
2010,17,Netherlands (without Delfzijl),-25.2172080316255,17,2500
2011,47.8,Netherlands (without Delfzijl),6.615522815251219,18,2601
2012,39.6,Netherlands (without Delfzijl),-2.6974354265092386,19,2704
2013,14.4,Netherlands (without Delfzijl),-28.21446071425562,20,2809
2014,54.8,Netherlands (without Delfzijl),-4.003328743061101,21,2916
2015,75.2,Netherlands (without Delfzijl),15.859516270949863,22,3025
2016,63.6,Netherlands (without Delfzijl),-22.7461720032852,23,3136
2017,94.2,Netherlands (without Delfzijl),16.6227310906759,24,3249
2018,26.2,Netherlands (without Delfzijl),-42.01961508565288,25,3364
2019,92,Netherlands (without Delfzijl),5.898918457963559,26,3481
2020,96.6,Netherlands (without Delfzijl),6.206125991829542,27,3600
2021,75.8,Netherlands (without Delfzijl),-16.852822215515918,28,3721
2022,94.6,Netherlands (without Delfzijl),-11.629657524980416,29,3844
2023,151.8,Netherlands (without Delfzijl),23.87961833947214,30,3969
