year;psmsl_id;name;height;surge;source;method;surge_anomaly;station
1952;20;Vlissingen;-54;0.045;psmsl;NA;15.092105263157894;Vlissingen
1953;20;Vlissingen;-104;0.001;psmsl;NA;-28.907894736842106;Vlissingen
1954;20;Vlissingen;-85;0.045;psmsl;NA;15.092105263157894;Vlissingen
1955;20;Vlissingen;-86;0.043;psmsl;NA;13.092105263157894;Vlissingen
1956;20;Vlissingen;-148;0.019;psmsl;NA;-10.907894736842106;Vlissingen
1957;20;Vlissingen;-112;0.03;psmsl;NA;0.0921052631578938;Vlissingen
1958;20;Vlissingen;-85;0.042;psmsl;NA;12.092105263157894;Vlissingen
1959;20;Vlissingen;-98;-0.004;psmsl;NA;-33.90789473684211;Vlissingen
1960;20;Vlissingen;-83;0.036;psmsl;NA;6.092105263157894;Vlissingen
1961;20;Vlissingen;-41;0.048;psmsl;NA;18.092105263157894;Vlissingen
1962;20;Vlissingen;-70;0.033;psmsl;NA;3.092105263157894;Vlissingen
1963;20;Vlissingen;-143;0.009;psmsl;NA;-20.907894736842106;Vlissingen
1964;20;Vlissingen;-115;0.003;psmsl;NA;-26.907894736842106;Vlissingen
1965;20;Vlissingen;-75;0.057;psmsl;NA;27.092105263157894;Vlissingen
1966;20;Vlissingen;-42;0.053;psmsl;NA;23.092105263157894;Vlissingen
1967;20;Vlissingen;-47;0.058;psmsl;NA;28.092105263157894;Vlissingen
1968;20;Vlissingen;-78;0.03;psmsl;NA;0.0921052631578938;Vlissingen
1969;20;Vlissingen;-73;0.025;psmsl;NA;-4.907894736842106;Vlissingen
1970;20;Vlissingen;-58;0.049;psmsl;NA;19.092105263157894;Vlissingen
1971;20;Vlissingen;-115;0.014;psmsl;NA;-15.907894736842106;Vlissingen
1972;20;Vlissingen;-131;-0.002;psmsl;NA;-31.907894736842106;Vlissingen
1973;20;Vlissingen;-79;0.042;psmsl;NA;12.092105263157894;Vlissingen
1974;20;Vlissingen;-62;0.065;psmsl;NA;35.09210526315789;Vlissingen
1975;20;Vlissingen;-99;0.014;psmsl;NA;-15.907894736842106;Vlissingen
1976;20;Vlissingen;-115;0.007;psmsl;NA;-22.907894736842106;Vlissingen
1977;20;Vlissingen;-78;0.05;psmsl;NA;20.092105263157894;Vlissingen
1978;20;Vlissingen;-95;0.035;psmsl;NA;5.092105263157894;Vlissingen
1979;20;Vlissingen;-69;0.031;psmsl;NA;1.0921052631578938;Vlissingen
1980;20;Vlissingen;-53;0.025;psmsl;NA;-4.907894736842106;Vlissingen
1981;20;Vlissingen;-18;0.051;psmsl;NA;21.092105263157894;Vlissingen
1982;20;Vlissingen;-49;0.02;psmsl;NA;-9.907894736842106;Vlissingen
1983;20;Vlissingen;-22;0.051;psmsl;NA;21.092105263157894;Vlissingen
1984;20;Vlissingen;-61;0.021;psmsl;NA;-8.907894736842106;Vlissingen
1985;20;Vlissingen;-54;0.021;psmsl;NA;-8.907894736842106;Vlissingen
1986;20;Vlissingen;-71;0.024;psmsl;NA;-5.907894736842106;Vlissingen
1987;20;Vlissingen;-72;0.007;psmsl;NA;-22.907894736842106;Vlissingen
1988;20;Vlissingen;-10;0.051;psmsl;NA;21.092105263157894;Vlissingen
1989;20;Vlissingen;-43;0.031;psmsl;NA;1.0921052631578938;Vlissingen
1990;20;Vlissingen;-27;0.064;psmsl;NA;34.09210526315789;Vlissingen
1991;20;Vlissingen;-102;0.007;psmsl;NA;-22.907894736842106;Vlissingen
1992;20;Vlissingen;-63;0.027;psmsl;NA;-2.907894736842106;Vlissingen
1993;20;Vlissingen;-57;0.022;psmsl;NA;-7.907894736842106;Vlissingen
1994;20;Vlissingen;-26;0.046;psmsl;NA;16.092105263157894;Vlissingen
1995;20;Vlissingen;-16;0.037;psmsl;NA;7.092105263157894;Vlissingen
1996;20;Vlissingen;-101;-0.019;psmsl;NA;-48.90789473684211;Vlissingen
1997;20;Vlissingen;-67;-0;psmsl;NA;-29.907894736842106;Vlissingen
1998;20;Vlissingen;1;0.057;psmsl;NA;27.092105263157894;Vlissingen
1999;20;Vlissingen;-4;0.054;psmsl;NA;24.092105263157894;Vlissingen
2000;20;Vlissingen;-10;0.043;psmsl;NA;13.092105263157894;Vlissingen
2001;20;Vlissingen;9;0.042;psmsl;NA;12.092105263157894;Vlissingen
2002;20;Vlissingen;-8;0.017;psmsl;NA;-12.907894736842106;Vlissingen
2003;20;Vlissingen;-18;0.002;psmsl;NA;-27.907894736842106;Vlissingen
2004;20;Vlissingen;14;0.037;psmsl;NA;7.092105263157894;Vlissingen
2005;20;Vlissingen;27;0.027;psmsl;NA;-2.907894736842106;Vlissingen
2006;20;Vlissingen;1;0.027;psmsl;NA;-2.907894736842106;Vlissingen
2007;20;Vlissingen;46;0.052;psmsl;NA;22.092105263157894;Vlissingen
2008;20;Vlissingen;19;0.04;psmsl;NA;10.092105263157894;Vlissingen
2009;20;Vlissingen;1;0.025;psmsl;NA;-4.907894736842106;Vlissingen
2010;20;Vlissingen;3;0.024;psmsl;NA;-5.907894736842106;Vlissingen
2011;20;Vlissingen;7;0.03;psmsl;NA;0.0921052631578938;Vlissingen
2012;20;Vlissingen;0;0.027;psmsl;NA;-2.907894736842106;Vlissingen
2013;20;Vlissingen;-14;0.012;psmsl;NA;-17.907894736842106;Vlissingen
2014;20;Vlissingen;24;0.027;psmsl;NA;-2.907894736842106;Vlissingen
2015;20;Vlissingen;27;0.033;psmsl;NA;3.092105263157894;Vlissingen
2016;20;Vlissingen;30;0.013;psmsl;NA;-16.907894736842106;Vlissingen
2017;20;Vlissingen;46;0.041;psmsl;NA;11.092105263157894;Vlissingen
2018;20;Vlissingen;1;-0.002;psmsl;NA;-31.907894736842106;Vlissingen
2019;20;Vlissingen;51;0.034;psmsl;NA;4.092105263157894;Vlissingen
2020;20;Vlissingen;58;0.03;psmsl;NA;0.0921052631578938;Vlissingen
2021;20;Vlissingen;46;0.015;psmsl;NA;-14.907894736842106;Vlissingen
2022;20;Vlissingen;60;0.019;psmsl;NA;-10.907894736842106;Vlissingen
2023;20;Vlissingen;116;0.051;psmsl;NA;21.092105263157894;Vlissingen
2024;20;Vlissingen;129;0.048;psmsl;NA;18.092105263157894;Vlissingen
2025;20;Vlissingen;83;0.007;psmsl;NA;-22.907894736842106;Vlissingen
1864;22;Hoek van Holland;-331;NA;psmsl;NA;0;Hoek van Holland
1865;22;Hoek van Holland;-320;NA;psmsl;NA;0;Hoek van Holland
1866;22;Hoek van Holland;-268;NA;psmsl;NA;0;Hoek van Holland
1867;22;Hoek van Holland;-275;NA;psmsl;NA;0;Hoek van Holland
1868;22;Hoek van Holland;-266;NA;psmsl;NA;0;Hoek van Holland
1869;22;Hoek van Holland;-229;NA;psmsl;NA;0;Hoek van Holland
1870;22;Hoek van Holland;-280;NA;psmsl;NA;0;Hoek van Holland
1871;22;Hoek van Holland;-253;NA;psmsl;NA;0;Hoek van Holland
1872;22;Hoek van Holland;-199;NA;psmsl;NA;0;Hoek van Holland
1873;22;Hoek van Holland;-220;NA;psmsl;NA;0;Hoek van Holland
1874;22;Hoek van Holland;-250;NA;psmsl;NA;0;Hoek van Holland
1875;22;Hoek van Holland;-280;NA;psmsl;NA;0;Hoek van Holland
1876;22;Hoek van Holland;-250;NA;psmsl;NA;0;Hoek van Holland
1877;22;Hoek van Holland;-183;NA;psmsl;NA;0;Hoek van Holland
1878;22;Hoek van Holland;-199;NA;psmsl;NA;0;Hoek van Holland
1879;22;Hoek van Holland;-227;NA;psmsl;NA;0;Hoek van Holland
1880;22;Hoek van Holland;-177;NA;psmsl;NA;0;Hoek van Holland
1881;22;Hoek van Holland;-229;NA;psmsl;NA;0;Hoek van Holland
1882;22;Hoek van Holland;-196;NA;psmsl;NA;0;Hoek van Holland
1883;22;Hoek van Holland;-200;NA;psmsl;NA;0;Hoek van Holland
1884;22;Hoek van Holland;-198;NA;psmsl;NA;0;Hoek van Holland
1885;22;Hoek van Holland;-175;NA;psmsl;NA;0;Hoek van Holland
1886;22;Hoek van Holland;-188;NA;psmsl;NA;0;Hoek van Holland
1887;22;Hoek van Holland;-214;NA;psmsl;NA;0;Hoek van Holland
1888;22;Hoek van Holland;-250;NA;psmsl;NA;0;Hoek van Holland
1889;22;Hoek van Holland;-216;NA;psmsl;NA;0;Hoek van Holland
1890;22;Hoek van Holland;-218;NA;psmsl;NA;0;Hoek van Holland
1891;22;Hoek van Holland;-213;NA;psmsl;NA;0;Hoek van Holland
1892;22;Hoek van Holland;-182;NA;psmsl;NA;0;Hoek van Holland
1893;22;Hoek van Holland;-190;NA;psmsl;NA;0;Hoek van Holland
1894;22;Hoek van Holland;-201;NA;psmsl;NA;0;Hoek van Holland
